OnsetDate,CaseNum,CaseSum,UncaseNum,UncaseSum
2020-10-14,287710,287710,2589390,2589390
2020-10-15,788,288498,7092,2596482
2020-10-16,866,289364,7794,2604276
2020-10-17,954,290318,8586,2612862
2020-10-18,922,291240,8298,2621160
2020-10-19,950,292190,8550,2629710
2020-10-20,992,293182,8928,2638638
2020-10-21,1035,294217,9315,2647953
2020-10-22,1086,295303,9774,2657727
2020-10-23,1119,296422,10071,2667798
2020-10-24,1176,297598,10584,2678382
2020-10-25,1167,298765,10503,2688885
2020-10-26,1266,300031,11394,2700279
2020-10-27,1321,301352,11889,2712168
2020-10-28,1402,302754,12618,2724786
2020-10-29,1376,304130,12384,2737170
2020-10-30,1480,305610,13320,2750490
2020-10-31,1525,307135,13725,2764215
2020-11-01,1583,308718,14247,2778462
2020-11-02,1698,310416,15282,2793744
2020-11-03,1689,312105,15201,2808945
2020-11-04,1642,313747,14778,2823723
2020-11-05,1644,315391,14796,2838519
2020-11-06,1657,317048,14913,2853432
2020-11-07,1831,318879,16479,2869911
2020-11-08,1822,320701,16398,2886309
2020-11-09,2019,322720,18171,2904480
2020-11-10,2023,324743,18207,2922687
2020-11-11,2155,326898,19395,2942082
2020-11-12,2179,329077,19611,2961693
2020-11-13,2277,331354,20493,2982186
2020-11-14,2417,333771,21753,3003939
2020-11-15,2454,336225,22086,3026025
2020-11-16,2573,338798,23157,3049182
2020-11-17,2694,341492,24246,3073428
2020-11-18,2813,344305,25317,3098745
2020-11-19,2905,347210,26145,3124890
2020-11-20,2676,349886,24084,3148974
2020-11-21,3018,352904,27162,3176136
2020-11-22,2880,355784,25920,3202056
2020-11-23,2980,358764,26820,3228876
2020-11-24,2971,361735,26739,3255615
2020-11-25,3010,364745,27090,3282705
2020-11-26,3041,367786,27369,3310074
2020-11-27,3081,370867,27729,3337803
2020-11-28,3136,374003,28224,3366027
2020-11-29,3208,377211,28872,3394899
2020-11-30,3262,380473,29358,3424257
2020-12-01,3266,383739,29394,3453651
2020-12-02,3265,387004,29385,3483036
2020-12-03,3525,390529,31725,3514761
2020-12-04,3339,393868,30051,3544812
2020-12-05,3427,397295,30843,3575655
2020-12-06,3454,400749,31086,3606741
2020-12-07,3485,404234,31365,3638106
2020-12-08,3472,407706,31248,3669354
2020-12-09,3433,411139,30897,3700251
2020-12-10,3442,414581,30978,3731229
2020-12-11,3463,418044,31167,3762396
2020-12-12,3510,421554,31590,3793986
2020-12-13,3553,425107,31977,3825963
2020-12-14,3560,428667,32040,3858003
2020-12-15,3596,432263,32364,3890367
2020-12-16,3599,435862,32391,3922758
2020-12-17,3573,439435,32157,3954915
2020-12-18,3590,443025,32310,3987225
2020-12-19,3334,446359,30006,4017231
2020-12-20,3479,449838,31311,4048542
2020-12-21,3438,453276,30942,4079484
2020-12-22,3436,456712,30924,4110408
2020-12-23,3452,460164,31068,4141476
2020-12-24,3466,463630,31194,4172670
2020-12-25,3530,467160,31770,4204440
2020-12-26,3239,470399,29151,4233591
2020-12-27,3718,474117,33462,4267053
2020-12-28,3654,477771,32886,4299939
2020-12-29,3701,481472,33309,4333248
2020-12-30,3806,485278,34254,4367502
2020-12-31,3905,489183,35145,4402647
2021-01-01,4351,493534,39159,4441806
2021-01-02,4411,497945,39699,4481505
2021-01-03,4570,502515,41130,4522635
