sim_start,int_start1,int_length2,soc_dist_level_wfh,Ca,int_start2,int_length1,beta0est,alphaest,muest,deltaest,paramset,iso_start,log_lik,R0,Reff,E_init,soc_dist_level_sip
2020-02-11,2020-03-19,76,0.875,0.45,2020-03-26,7,0,0,0,0,1,2020-06-10,0,0,0,0,0
2020-02-19,2020-03-17,76,0.775,0.65,2020-03-26,9,0,0,0,0,2,2020-06-10,0,0,0,0,0
2020-02-07,2020-03-17,76,0.725,0.75,2020-03-26,9,0,0,0,0,3,2020-06-10,0,0,0,0,0
2020-02-15,2020-03-19,76,0.825,0.55,2020-03-26,7,0,0,0,0,4,2020-06-10,0,0,0,0,0
2020-02-10,2020-03-17,76,0.8125,0.425,2020-03-26,9,1.02554606910654,0.904661050029029,0.183306179667632,0.41474076751403,5,2020-06-10,-55.9205015274449,3.44454185922824,1.83811507010656,1.02659442348566,0.538546997261122
