,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
169,66001,smoothed_wcli,2020-05-05,2020-09-03,121,0.1457149,0.0747435,2046.9885,county,fb-survey
170,66013,smoothed_wcli,2020-05-05,2020-09-03,121,0.3003371,0.1298687,2282.4346,county,fb-survey
171,66041,smoothed_wcli,2020-05-05,2020-09-03,121,0.2465795,0.243129,360.632,county,fb-survey
172,66075,smoothed_wcli,2020-05-05,2020-09-03,121,0.1722634,0.1489561,1191.0,county,fb-survey
173,66081,smoothed_wcli,2020-05-05,2020-09-03,121,0.1124471,0.0854605,1535.9794,county,fb-survey
174,66085,smoothed_wcli,2020-05-05,2020-09-03,121,0.1201903,0.0761392,2345.2231,county,fb-survey
175,66001,smoothed_wcli,2020-05-06,2020-09-03,120,0.2381043,0.1199616,2044.8829,county,fb-survey
176,66013,smoothed_wcli,2020-05-06,2020-09-03,120,0.20795,0.0836977,2282.4723,county,fb-survey
177,66041,smoothed_wcli,2020-05-06,2020-09-03,120,0.1874768,0.2372217,353.632,county,fb-survey
178,66075,smoothed_wcli,2020-05-06,2020-09-03,120,0.0394154,0.0683921,1180.0,county,fb-survey
179,66081,smoothed_wcli,2020-05-06,2020-09-03,120,0.1127586,0.0858865,1523.1228,county,fb-survey
180,66085,smoothed_wcli,2020-05-06,2020-09-03,120,0.315626,0.2361494,2387.9175,county,fb-survey
181,66001,smoothed_wcli,2020-05-07,2020-09-03,119,0.1893194,0.114525,1919.9372,county,fb-survey
182,66013,smoothed_wcli,2020-05-07,2020-09-03,119,0.2330434,0.0857504,2210.4127,county,fb-survey
183,66041,smoothed_wcli,2020-05-07,2020-09-03,119,0.1939205,0.2462852,335.6116,county,fb-survey
184,66075,smoothed_wcli,2020-05-07,2020-09-03,119,0.0633535,0.0741347,1134.0,county,fb-survey
185,66081,smoothed_wcli,2020-05-07,2020-09-03,119,0.1887099,0.1171535,1427.3928,county,fb-survey
186,66085,smoothed_wcli,2020-05-07,2020-09-03,119,0.3397996,0.2357563,2272.6303,county,fb-survey
187,66001,smoothed_wcli,2020-05-08,2020-09-03,118,0.1801899,0.117448,1711.6901,county,fb-survey
188,66013,smoothed_wcli,2020-05-08,2020-09-03,118,0.3904439,0.2016202,1996.5995,county,fb-survey
189,66041,smoothed_wcli,2020-05-08,2020-09-03,118,0.0,0.1439372,299.4484,county,fb-survey
190,66075,smoothed_wcli,2020-05-08,2020-09-03,118,0.0794842,0.0940691,1025.0,county,fb-survey
191,66081,smoothed_wcli,2020-05-08,2020-09-03,118,0.1849236,0.1258329,1272.5668,county,fb-survey
192,66085,smoothed_wcli,2020-05-08,2020-09-03,118,0.2679978,0.2223931,2065.1122,county,fb-survey
193,66001,smoothed_wcli,2020-05-09,2020-09-03,117,0.1609909,0.1132445,1651.0696,county,fb-survey
194,66013,smoothed_wcli,2020-05-09,2020-09-03,117,0.3123264,0.1949702,1929.198,county,fb-survey
195,66041,smoothed_wcli,2020-05-09,2020-09-03,117,0.0,0.147091,290.4892,county,fb-survey
196,66075,smoothed_wcli,2020-05-09,2020-09-03,117,0.0834004,0.097496,977.0,county,fb-survey
197,66081,smoothed_wcli,2020-05-09,2020-09-03,117,0.1391747,0.1203383,1236.8674,county,fb-survey
198,66085,smoothed_wcli,2020-05-09,2020-09-03,117,0.3043095,0.223193,1993.9298,county,fb-survey
199,66001,smoothed_wcli,2020-05-10,2020-09-03,116,0.1505593,0.1114478,1627.1126,county,fb-survey
200,66013,smoothed_wcli,2020-05-10,2020-09-03,116,0.3051094,0.1905428,1909.2283,county,fb-survey
201,66041,smoothed_wcli,2020-05-10,2020-09-03,116,0.0,0.150401,283.4484,county,fb-survey
202,66075,smoothed_wcli,2020-05-10,2020-09-03,116,0.0268885,0.0794285,962.0,county,fb-survey
203,66081,smoothed_wcli,2020-05-10,2020-09-03,116,0.1773059,0.1269632,1207.3748,county,fb-survey
204,66085,smoothed_wcli,2020-05-10,2020-09-03,116,0.2995404,0.2196538,1979.8429,county,fb-survey
205,66001,smoothed_wcli,2020-05-11,2020-09-03,115,0.1623885,0.1114688,1622.486,county,fb-survey
206,66013,smoothed_wcli,2020-05-11,2020-09-03,115,0.304343,0.1928696,1872.7728,county,fb-survey
207,66041,smoothed_wcli,2020-05-11,2020-09-03,115,0.0,0.1600818,265.326,county,fb-survey
208,66075,smoothed_wcli,2020-05-11,2020-09-03,115,0.0268139,0.0791409,966.0,county,fb-survey
209,66081,smoothed_wcli,2020-05-11,2020-09-03,115,0.2139972,0.131355,1212.1048,county,fb-survey
210,66085,smoothed_wcli,2020-05-11,2020-09-03,115,0.4741202,0.2659963,1977.8687,county,fb-survey
211,66001,smoothed_wcli,2020-05-12,2020-09-03,114,0.2463971,0.1249877,1613.3366,county,fb-survey
212,66013,smoothed_wcli,2020-05-12,2020-09-03,114,0.3032935,0.1951822,1807.9208,county,fb-survey
213,66041,smoothed_wcli,2020-05-12,2020-09-03,114,0.0,0.1618236,266.224,county,fb-survey
214,66075,smoothed_wcli,2020-05-12,2020-09-03,114,0.046671,0.0821272,950.0,county,fb-survey
215,66081,smoothed_wcli,2020-05-12,2020-09-03,114,0.1497112,0.1150015,1185.0584,county,fb-survey
216,66085,smoothed_wcli,2020-05-12,2020-09-03,114,0.4649578,0.2604672,1976.1988,county,fb-survey
217,66001,smoothed_wcli,2020-05-13,2020-09-03,113,0.1588062,0.0901884,1558.8612,county,fb-survey
