sim_start,int_start1,int_length2,soc_dist_level_wfh,Ca,delta,mu,int_start2,int_length1,beta0est,alphaest,alpha1est,paramset,iso_start,log_lik,R0,Reff,E_init,soc_dist_level_sip
2020-02-21,2020-03-11,76,0.875,0.45,0.225,0.93125,2020-04-02,22,0,0,0,1,2020-06-17,0,0,0,0,0
2020-02-21,2020-03-10,76,0.775,0.65,0.125,0.95625,2020-04-02,23,0,0,0,2,2020-06-17,0,0,0,0,0
2020-02-21,2020-03-11,76,0.725,0.75,0.275,0.94375,2020-04-02,22,0,0,0,3,2020-06-17,0,0,0,0,0
2020-02-21,2020-03-12,76,0.825,0.55,0.175,0.96875,2020-04-02,21,0,0,0,4,2020-06-17,0,0,0,0,0
2020-02-21,2020-03-11,76,0.8125,0.425,0.2875,0.934375,2020-04-02,22,0.861270735779986,0.377845425763774,0.103545311089171,5,2020-06-17,-51.7437438397852,4.71905063882877,1.2811046601706,13.6292933563513,0.279719733818208
