OnsetDate,CaseNum,CaseSum,UncaseNum,UncaseSum
2020-09-09,57941,57941,173993,173993
2020-09-10,367,58308,1091,175084
2020-09-11,362,58670,1072,176156
2020-09-12,360,59030,1065,177222
2020-09-13,368,59398,1092,178315
2020-09-14,388,59786,1152,179467
2020-09-15,413,60199,1240,180708
2020-09-16,422,60621,1244,181952
2020-09-17,431,61052,1294,183246
2020-09-18,450,61502,1351,184598
2020-09-19,460,61962,1381,185979
2020-09-20,488,62450,1465,187444
2020-09-21,502,62952,1507,188952
2020-09-22,527,63479,1582,190534
2020-09-23,543,64022,1630,192165
2020-09-24,535,64557,1606,193772
2020-09-25,530,65087,1479,195251
2020-09-26,543,65630,1630,196881
2020-09-27,551,66181,1654,198536
2020-09-28,553,66734,1660,200197
2020-09-29,578,67312,1735,201932
2020-09-30,598,67910,1795,203728
2020-10-01,599,68509,1798,205527
2020-10-02,597,69106,1792,207320
2020-10-03,596,69702,1773,209094
2020-10-04,619,70321,1858,210952
2020-10-05,646,70967,1939,212892
2020-10-06,675,71642,2026,214919
2020-10-07,700,72342,2102,217021
2020-10-08,722,73064,2168,219189
2020-10-09,722,73786,2168,221358
