OnsetDate,CaseNum,CaseSum,UncaseNum,UncaseSum
2020-06-20,22964,22964,206686,206686
2020-06-21,228,23192,2052,208738
2020-06-22,239,23431,2151,210889
2020-06-23,247,23678,2223,213113
2020-06-24,254,23932,2286,215399
2020-06-25,256,24188,2304,217703
2020-06-26,264,24452,2375,220079
2020-06-27,265,24717,2385,222464
2020-06-28,244,24961,2196,224660
2020-06-29,253,25214,2277,226937
2020-06-30,268,25482,2412,229349
2020-07-01,284,25766,2556,231905
2020-07-02,289,26055,2601,234506
2020-07-03,297,26352,2673,237179
2020-07-04,311,26663,2799,239979
2020-07-05,326,26989,3008,242987
2020-07-06,350,27339,3150,246137
2020-07-07,350,27689,3144,249282
2020-07-08,350,28039,3137,252419
2020-07-09,352,28391,3168,255587
2020-07-10,364,28755,3276,258864
2020-07-11,397,29152,3573,262437
2020-07-12,396,29548,3531,265968
2020-07-13,412,29960,3671,269639
2020-07-14,398,30358,3582,273221
