"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",6344943,206,111,4,45,26,10,3,30
"2",6344822,256,134,6,73,26,27,4,44
"3",6344660,329,164,8,101,26,56,5,53
"4",6344453,423,206,10,131,27,94,6,65
"5",6344189,541,263,13,168,28,144,8,82
"6",6343853,691,335,17,214,29,207,10,104
"7",6343425,881,428,21,273,31,288,13,133
"8",6342878,1123,545,27,348,33,390,17,169
"9",6342180,1434,696,34,444,37,520,21,216
"10",6341290,1829,888,44,567,41,686,27,276
"11",6340155,2334,1133,56,723,47,899,34,352
"12",6338705,2978,1445,71,922,55,1168,44,449
"13",6336856,3800,1844,91,1177,65,1513,56,572
"14",6334497,4849,2353,115,1501,78,1952,71,731
"15",6331489,6186,3001,147,1916,94,2512,91,932
"16",6327652,7890,3829,188,2444,116,3227,116,1189
"17",6322759,10062,4885,239,3119,143,4138,148,1517
"18",6316520,12832,6230,305,3980,178,5300,188,1936
"19",6308566,16361,7946,389,5077,223,6783,239,2470
"20",6298433,20853,10133,495,6476,280,8675,305,3149
"21",6285527,26567,12919,631,8259,354,11089,389,4016
"22",6269103,33831,16462,804,10532,447,14166,496,5121
"23",6248222,43046,20970,1024,13426,566,18090,631,6526
"24",6221704,54719,26698,1305,17110,718,23091,804,8313
"25",6188071,69484,33958,1660,21795,912,29466,1023,10585
"26",6145498,88096,43156,2112,27741,1158,37584,1301,13463
"27",6091738,111477,54771,2684,35286,1472,47918,1652,17111
"28",6024058,140719,69396,3407,44835,1870,61060,2096,21718
"29",5939197,177055,87747,4318,56894,2375,77758,2654,27520
"30",5833301,221896,110653,5463,72071,3016,98944,3354,34796
"31",5702003,276679,139059,6896,91099,3826,125782,4228,43881
"32",5540498,342780,174002,8681,114834,4848,159703,5312,55150
"33",5343818,421260,216547,10885,144245,6133,202457,6644,69011
"34",5107263,512552,267658,13585,180389,7742,256155,8268,85883
"35",4827116,615960,328023,16856,224340,9748,323302,10220,106155
"36",4501561,729119,397803,20761,277075,12233,406794,12526,130090
"37",4131830,847430,476265,25337,339295,15284,509903,15195,157762
"38",3723224,963827,561401,30584,411165,18998,636147,18206,188867
"39",3285880,1068816,649668,36421,491991,23462,789107,21480,222608
"40",2834560,1151584,735756,42680,579912,28749,972103,24888,257575
"41",2387386,1201659,812962,49087,671601,34905,1187745,28238,291655
"42",1963311,1211368,873863,55245,762217,41922,1437418,31266,322199
"43",1579060,1177905,911639,60681,845628,49732,1720699,33693,346246
"44",1246363,1104429,921452,64898,915135,58189,2034879,35256,361104
"45",970492,999460,901660,67456,964447,67065,2374765,35754,364878
"46",750473,874834,854273,68057,988803,76073,2732832,35106,356926
"47",580690,742946,784524,66628,985873,84881,3099803,33381,338038
"48",453010,614439,699619,63312,956241,93157,3465567,30767,310326
"49",358712,496858,607325,58466,903136,100602,3820247,27536,276637
"50",289822,394418,514601,52543,831780,106993,4155188,23983,240070
"51",239718,308519,426863,46057,748312,112183,4463692,20388,203353
"52",203262,238587,347661,39460,658902,116122,4741350,16962,168628
"53",176635,182940,278777,33128,568999,118827,4986038,13852,137307
"54",157076,139416,220653,27320,482862,120387,5197632,11136,110071
"55",142612,105806,172791,22180,403462,120926,5377569,8833,87103
"56",131847,80085,134148,17765,332534,120592,5528374,6930,68198
"57",123789,60529,103439,14069,270802,119532,5653185,5390,52934
"58",117726,45721,79339,11034,218232,117892,5755401,4162,40809
"59",113145,34536,60610,8588,174276,115802,5838387,3198,31298
"60",109674,26099,46167,6641,138085,113374,5905305,2446,23905
"61",107038,19735,35093,5110,108678,110702,5958990,1866,18209
"62",105033,14934,26640,3916,85040,107863,6001918,1420,13839
"63",103505,11312,20208,2992,66219,104920,6036188,1079,10504
"64",102341,8576,15322,2281,51352,101921,6063552,819,7967
"65",101454,6506,11617,1736,39684,98903,6085444,621,6040
"66",100776,4940,8810,1319,30581,95896,6103022,472,4579
"67",100260,3753,6683,1002,23509,92920,6117218,358,3472
"68",99866,2853,5072,761,18037,89990,6128766,272,2634
"69",99566,2170,3850,578,13816,87117,6138249,206,1999
"70",99337,1650,2924,439,10569,84309,6146116,157,1517
"71",99163,1256,2222,334,8076,81572,6152722,119,1152
"72",99029,956,1689,254,6167,78909,6158340,91,876
"73",98928,728,1284,193,4706,76321,6163185,69,666
"74",98851,554,977,147,3589,73810,6167418,52,506
"75",98792,422,743,112,2736,71373,6171166,40,385
"76",98747,322,566,85,2086,69013,6174527,30,293
"77",98713,245,431,65,1590,66726,6177576,23,223
"78",98687,187,328,49,1211,64513,6180371,18,169
"79",98667,142,250,37,922,62371,6182956,13,129
"80",98651,108,190,29,703,60298,6185365,10,98
"81",98640,82,145,22,535,58294,6187627,8,75
"82",98631,63,110,17,408,56354,6189762,6,57
"83",98624,48,84,13,311,54479,6191787,5,43
"84",98619,36,64,10,237,52665,6193714,3,33
"85",98615,28,49,7,180,50911,6195555,3,25
"86",98612,21,37,6,137,49215,6197316,2,19
"87",98610,16,28,4,104,47576,6199006,2,15
"88",98608,12,22,3,80,45990,6200630,1,11
"89",98607,9,16,2,61,44458,6202191,1,8
"90",98606,7,13,2,46,42976,6203695,1,6
"91",98605,5,10,1,35,41544,6205144,1,5
"92",98605,4,7,1,27,40159,6206542,0,4
"93",98604,3,6,1,20,38821,6207890,0,3
"94",98604,2,4,1,16,37526,6209192,0,2
"95",98604,2,3,0,12,36276,6210448,0,2
"96",98603,1,2,0,9,35067,6211661,0,1
"97",98603,1,2,0,7,33898,6212834,0,1
"98",98603,1,1,0,5,32768,6213966,0,1
"99",98603,1,1,0,4,31675,6215061,0,1
"100",98603,0,1,0,3,30620,6216118,0,0
"101",98603,0,1,0,2,29600,6217139,0,0
"102",98603,0,0,0,2,28613,6218127,0,0
"103",98603,0,0,0,1,27659,6219081,0,0
"104",98603,0,0,0,1,26737,6220004,0,0
"105",98603,0,0,0,1,25845,6220896,0,0
"106",98603,0,0,0,1,24984,6221757,0,0
"107",98603,0,0,0,0,24151,6222590,0,0
"108",98603,0,0,0,0,23346,6223395,0,0
"109",98603,0,0,0,0,22568,6224174,0,0
"110",98603,0,0,0,0,21816,6224926,0,0
"111",98603,0,0,0,0,21089,6225653,0,0
"112",98603,0,0,0,0,20386,6226356,0,0
"113",98603,0,0,0,0,19706,6227036,0,0
"114",98603,0,0,0,0,19049,6227693,0,0
"115",98603,0,0,0,0,18414,6228328,0,0
"116",98603,0,0,0,0,17800,6228942,0,0
"117",98603,0,0,0,0,17207,6229536,0,0
"118",98603,0,0,0,0,16633,6230109,0,0
"119",98603,0,0,0,0,16079,6230663,0,0
"120",98603,0,0,0,0,15543,6231199,0,0
