Unnamed: 0,index,Start,Min,GT,ID,alpha,noise_level,iterations,alpha_hat
0.0,0,10.079823925175207,9.974330002165383,10.408893985595745,Noise in D_reported,0.04,0.05,3000,0.04
1.0,1,6.419240738874892,6.387819494159925,7.189678228340441,Noise in D_reported,0.04,0.05,3000,0.04
2.0,2,4.097524259514103,4.181250709012813,4.043638189364712,Noise in D_reported,0.04,0.05,3000,0.04
3.0,3,4.319856160814596,4.293460543775648,4.4232100272353065,Noise in D_reported,0.04,0.05,3000,0.04
4.0,4,5.121583402859058,5.179023305561189,5.0968365985070045,Noise in D_reported,0.04,0.05,3000,0.04
5.0,5,6.109083555812508,6.2709996594027775,5.8893240250314225,Noise in D_reported,0.04,0.05,3000,0.04
6.0,6,7.047680233065558,7.036163295793253,6.806059364588361,Noise in D_reported,0.04,0.05,3000,0.04
7.0,7,7.537597329810027,7.467457391055447,7.865328829596013,Noise in D_reported,0.04,0.05,3000,0.04
8.0,8,8.857227043539055,8.975150809549753,9.08885598586876,Noise in D_reported,0.04,0.05,3000,0.04
9.0,9,10.876650328811527,10.495174896998792,10.501625577871033,Noise in D_reported,0.04,0.05,3000,0.04
10.0,10,11.397369749130258,11.320449572974464,12.132290142432986,Noise in D_reported,0.04,0.05,3000,0.04
11.0,11,13.255092927470761,13.048462883903609,14.013656800267512,Noise in D_reported,0.04,0.05,3000,0.04
12.0,12,15.423938609643569,15.432156880497534,16.183227275396508,Noise in D_reported,0.04,0.05,3000,0.04
13.0,13,18.35063147467297,18.82559798115416,18.683780983660213,Noise in D_reported,0.04,0.05,3000,0.04
14.0,14,20.79686520575569,21.09675072509636,21.564008732506643,Noise in D_reported,0.04,0.05,3000,0.04
15.0,15,25.323113926311283,25.46807410836688,24.87917614198857,Noise in D_reported,0.04,0.05,3000,0.04
16.0,16,28.45535128740966,28.808674050038928,28.691810196721026,Noise in D_reported,0.04,0.05,3000,0.04
17.0,17,33.31574774748863,34.32488008420496,33.07239081868748,Noise in D_reported,0.04,0.05,3000,0.04
18.0,18,40.36239592620689,40.23388807579936,38.10000730725358,Noise in D_reported,0.04,0.05,3000,0.04
19.0,19,40.24947352634269,40.67047759023645,43.86294409324741,Noise in D_reported,0.04,0.05,3000,0.04
20.0,20,50.504644968295324,50.47308931422382,50.459132420677655,Noise in D_reported,0.04,0.05,3000,0.04
21.0,21,58.0913649115096,58.13443114805143,57.99638581159977,Noise in D_reported,0.04,0.05,3000,0.04
22.0,22,58.01570199408762,59.57198960405653,66.59231688764146,Noise in D_reported,0.04,0.05,3000,0.04
23.0,23,74.2915450349406,75.32689135168933,76.37380167248979,Noise in D_reported,0.04,0.05,3000,0.04
24.0,24,90.89183622881822,90.34978621506588,87.47582459267237,Noise in D_reported,0.04,0.05,3000,0.04
25.0,25,102.7343040499522,102.80069615173709,100.03950409627998,Noise in D_reported,0.04,0.05,3000,0.04
26.0,26,118.12279672481628,116.84541047233002,114.20906594024211,Noise in D_reported,0.04,0.05,3000,0.04
27.0,27,133.64606463970338,131.38169573330612,130.12751040830727,Noise in D_reported,0.04,0.05,3000,0.04
28.0,28,153.81253519830315,150.82911636442608,147.9307004928286,Noise in D_reported,0.04,0.05,3000,0.04
29.0,29,161.32477910719484,167.49944927227673,167.7396211507014,Noise in D_reported,0.04,0.05,3000,0.04
30.0,30,193.22582997576959,190.1745997217561,189.6506095062693,Noise in D_reported,0.04,0.05,3000,0.04
31.0,31,198.868895559782,210.56015976961154,213.7234882594533,Noise in D_reported,0.04,0.05,3000,0.04
32.0,32,239.13623239373703,239.46807895574696,239.9676598071092,Noise in D_reported,0.04,0.05,3000,0.04
33.0,33,262.23420335118203,267.5340540611961,268.3266382262858,Noise in D_reported,0.04,0.05,3000,0.04
34.0,34,306.75004331078543,297.4177532955207,298.6617424717798,Noise in D_reported,0.04,0.05,3000,0.04
35.0,35,288.8998512438912,326.5050991454152,330.7361256327348,Noise in D_reported,0.04,0.05,3000,0.04
36.0,36,369.67921441454735,361.7431985639166,364.20104197544737,Noise in D_reported,0.04,0.05,3000,0.04
37.0,37,426.63429343145447,394.27322824391223,398.58632747343523,Noise in D_reported,0.04,0.05,3000,0.04
38.0,38,429.5081986565916,429.38034040751967,433.2978056629363,Noise in D_reported,0.04,0.05,3000,0.04
39.0,39,463.3728379508378,465.25510922339475,467.6240313420176,Noise in D_reported,0.04,0.05,3000,0.04
40.0,40,506.5236218358177,494.99494482847535,500.75457374070953,Noise in D_reported,0.04,0.05,3000,0.04
41.0,41,505.74070420758864,525.3269183146588,531.8108991637664,Noise in D_reported,0.04,0.05,3000,0.04
42.0,42,551.7710863295265,554.6274239670555,559.8892262223491,Noise in D_reported,0.04,0.05,3000,0.04
43.0,43,604.9062320469562,579.1440629721575,584.1132107259527,Noise in D_reported,0.04,0.05,3000,0.04
44.0,44,589.2817260815464,596.5730635713584,603.6918188297433,Noise in D_reported,0.04,0.05,3000,0.04
45.0,45,613.0933024074742,612.7263333402594,617.9763429867526,Noise in D_reported,0.04,0.05,3000,0.04
46.0,46,678.1979648477071,622.9392209912303,626.5095783323662,Noise in D_reported,0.04,0.05,3000,0.04
47.0,47,601.1401121171307,621.3413728787116,629.0608683035642,Noise in D_reported,0.04,0.05,3000,0.04
48.0,48,673.5806067958248,623.344088739876,625.6418252043877,Noise in D_reported,0.04,0.05,3000,0.04
49.0,49,623.5678241737243,613.330404495307,616.5009137242414,Noise in D_reported,0.04,0.05,3000,0.04
50.0,50,558.737421198088,595.6815065736628,602.098139364266,Noise in D_reported,0.04,0.05,3000,0.04
51.0,51,628.4392658195309,585.3940853705384,583.0633960244112,Noise in D_reported,0.04,0.05,3000,0.04
52.0,52,513.0659160891585,558.0279275522042,560.1447224551375,Noise in D_reported,0.04,0.05,3000,0.04
53.0,53,543.6750213167184,534.5356366693021,534.1531183364623,Noise in D_reported,0.04,0.05,3000,0.04
54.0,54,509.7268729578109,506.6992886816124,505.91017313521024,Noise in D_reported,0.04,0.05,3000,0.04
55.0,55,465.3014965189463,475.76152438723716,476.2033539555223,Noise in D_reported,0.04,0.05,3000,0.04
56.0,56,435.5425684398079,446.7178740373523,445.75183345100487,Noise in D_reported,0.04,0.05,3000,0.04
57.0,57,414.96267054426505,415.4515698594692,415.18381685059563,Noise in D_reported,0.04,0.05,3000,0.04
58.0,58,363.2263918852813,384.904517387396,385.0248952539096,Noise in D_reported,0.04,0.05,3000,0.04
59.0,59,374.6978351565458,358.3906137868512,355.6956304247043,Noise in D_reported,0.04,0.05,3000,0.04
60.0,60,352.3087713492438,329.1093076251888,327.5160770097855,Noise in D_reported,0.04,0.05,3000,0.04
