OnsetDate,CaseNum,CaseSum,UncaseNum,UncaseSum
2020-05-28,28471,28471,378257,378257
2020-05-29,361,28832,4796,383053
2020-05-30,380,29212,5048,388102
2020-05-31,406,29618,5393,393496
2020-06-01,416,30034,5526,399023
2020-06-02,428,30462,5686,404709
2020-06-03,458,30920,6084,410794
2020-06-04,481,31401,6390,417184
2020-06-05,487,31888,6470,423654
2020-06-06,522,32410,6935,430589
2020-06-07,593,33003,7878,438468
2020-06-08,623,33626,8277,446745
2020-06-09,653,34279,8675,455420
2020-06-10,700,34979,9299,464720
2020-06-11,727,35706,9658,474379
2020-06-12,775,36481,10296,484676
2020-06-13,817,37298,10854,495530
2020-06-14,886,38184,11771,507301
2020-06-15,950,39134,12621,519923
2020-06-16,973,40107,12926,532850
2020-06-17,1018,41125,13524,546374
2020-06-18,1098,42223,14587,560962
2020-06-19,1146,43369,15225,576188
2020-06-20,1261,44630,16753,592941
2020-06-21,1395,46025,18533,611475
2020-06-22,1580,47605,20991,632466
2020-06-23,1654,49259,21974,654441
2020-06-24,1770,51029,23515,677956
2020-06-25,1824,52853,24233,702189
2020-06-26,2002,54855,26597,728787
2020-06-27,2156,57011,28643,757431
