OnsetDate,CaseNum,CaseSum,UncaseNum,UncaseSum
2020-05-28,28471,28471,113884,113884
2020-05-29,361,28832,1444,115328
2020-05-30,380,29212,1520,116848
2020-05-31,406,29618,1624,118472
2020-06-01,416,30034,1664,120136
2020-06-02,428,30462,1712,121848
2020-06-03,458,30920,1832,123680
2020-06-04,481,31401,1924,125604
2020-06-05,487,31888,1948,127552
2020-06-06,522,32410,2088,129640
2020-06-07,593,33003,2372,132012
2020-06-08,623,33626,2492,134504
2020-06-09,653,34279,2612,137116
2020-06-10,700,34979,2800,139916
2020-06-11,727,35706,2908,142824
2020-06-12,775,36481,3100,145924
2020-06-13,817,37298,3268,149192
2020-06-14,886,38184,3544,152736
2020-06-15,950,39134,3800,156536
2020-06-16,973,40107,3892,160428
2020-06-17,1018,41125,4072,164500
2020-06-18,1098,42223,4392,168892
2020-06-19,1146,43369,4584,173476
2020-06-20,1261,44630,5044,178520
2020-06-21,1395,46025,5580,184100
2020-06-22,1580,47605,6320,190420
2020-06-23,1654,49259,6616,197036
2020-06-24,1770,51029,7080,204116
2020-06-25,1824,52853,7296,211412
2020-06-26,2002,54855,8008,219420
2020-06-27,2156,57011,8624,228044
2020-06-28,2392,59403,9568,237612
2020-06-29,2665,62068,10660,248272
2020-06-30,2797,64865,11188,259460
2020-07-01,2899,67764,11596,271056
2020-07-02,3123,70887,12492,283548
2020-07-03,3181,74068,12724,296272
2020-07-04,3324,77392,13296,309568
2020-07-05,3429,80821,13716,323284
2020-07-06,3733,84554,14932,338216
2020-07-07,3945,88499,15780,353996
2020-07-08,4080,92579,16320,370316
2020-07-09,4128,96707,16512,386828
2020-07-10,4259,100966,17036,403864
2020-07-11,4247,105213,16988,420852
2020-07-12,4275,109488,17100,437952
2020-07-13,4421,113909,17684,455636
2020-07-14,4560,118469,18240,473876
2020-07-15,4557,123026,18228,492104
2020-07-16,4613,127639,18452,510556
2020-07-17,4624,132263,18496,529052
2020-07-18,4695,136958,18780,547832
2020-07-19,4636,141594,18544,566376
2020-07-20,4571,146165,18284,584660
2020-07-21,4622,150787,18488,603148
2020-07-22,4636,155423,18544,621692
2020-07-23,4580,160003,18320,640012
2020-07-24,4594,164597,18376,658388
2020-07-25,4534,169131,18136,676524
2020-07-26,4506,173637,18024,694548
2020-07-27,4352,177989,17408,711956
2020-07-28,4150,182139,16600,728556
2020-07-29,3960,186099,15840,744396
2020-07-30,3759,189858,15036,759432
2020-07-31,3558,193416,14232,773664
2020-08-01,3350,196766,13400,787064
2020-08-02,3242,200008,12968,800032
2020-08-03,3076,203084,12304,812336
2020-08-04,2897,205981,11588,823924
2020-08-05,2744,208725,10976,834900
2020-08-06,2762,211487,11048,845948
2020-08-07,2648,214135,10592,856540
2020-08-08,2503,216638,10012,866552
2020-08-09,2478,219116,9912,876464
2020-08-10,2460,221576,9840,886304
2020-08-11,2412,223988,9648,895952
2020-08-12,2381,226369,9524,905476
2020-08-13,2293,228662,9172,914648
2020-08-14,2221,230883,8884,923532
2020-08-15,2130,233013,8520,932052
2020-08-16,2070,235083,8280,940332
2020-08-17,2009,237092,8036,948368
2020-08-18,1900,238992,7600,955968
2020-08-19,1628,240620,6512,962480
2020-08-20,1527,242147,6108,968588
2020-08-21,1415,243562,5660,974248
2020-08-22,1330,244892,5320,979568
2020-08-23,1296,246188,5184,984752
2020-08-24,1269,247457,5076,989828
2020-08-25,1206,248663,4824,994652
2020-08-26,1352,250015,5408,1000060
2020-08-27,1262,251277,5048,1005108
2020-08-28,1195,252472,4780,1009888
2020-08-29,1148,253620,4592,1014480
2020-08-30,1129,254749,4516,1018996
2020-08-31,1103,255852,4412,1023408
2020-09-01,1062,256914,4248,1027656
2020-09-02,1018,257932,4072,1031728
2020-09-03,979,258911,3916,1035644
2020-09-04,927,259838,3708,1039352
2020-09-05,911,260749,3644,1042996
2020-09-06,904,261653,3616,1046612
2020-09-07,901,262554,3604,1050216
2020-09-08,665,263219,2660,1052876
2020-09-09,678,263897,2712,1055588
2020-09-10,663,264560,2652,1058240
2020-09-11,666,265226,2664,1060904
2020-09-12,660,265886,2640,1063544
