"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"105",2443116,19685,18447,1253,26737,22618,3813490,598,7995
"106",2437655,18358,17214,1170,24980,22073,3823895,558,7463
"107",2432566,17116,16060,1092,23332,21533,3833647,521,6965
"108",2427825,15954,14979,1019,21784,20996,3842787,486,6497
"109",2423409,14869,13968,951,20332,20466,3851350,453,6060
"110",2419295,13856,13022,887,18971,19943,3859372,423,5650
"111",2415464,12909,12139,827,17696,19426,3866884,394,5267
"112",2411897,12025,11313,771,16504,18916,3873919,367,4910
"113",2408575,11201,10540,719,15389,18414,3880507,342,4576
"114",2405483,10431,9819,670,14346,17919,3886676,319,4264
"115",2402605,9712,9146,625,13373,17434,3892450,297,3972
"116",2399925,9043,8519,582,12461,16957,3897858,276,3700
"117",2397432,8418,7933,542,11610,16488,3902922,258,3446
"118",2395112,7836,7387,505,10814,16029,3907662,240,3208
"119",2392953,7293,6876,470,10073,15579,3912100,224,2989
"120",2390944,6787,6402,438,9380,15138,3916255,208,2781
