b1	r1
0.448	0.23
0.474	0.248
0.474	0.248
0.474	0.248
0.474	0.248
0.474	0.248
0.474	0.248
0.454	0.24
0.454	0.24
0.454	0.24
0.454	0.24
0.463	0.241
0.36	0.3
0.513	0.169
0.448	0.235
0.448	0.235
0.559	0.184
0.522	0.214
0.522	0.214
0.522	0.214
0.522	0.214
0.436	0.278
0.419	0.26
0.419	0.26
0.419	0.26
0.419	0.26
0.419	0.26
0.419	0.26
0.449	0.242
0.449	0.242
0.449	0.242
0.457	0.225
0.457	0.225
0.457	0.225
0.404	0.306
0.404	0.306
0.404	0.306
0.404	0.306
0.51	0.217
0.51	0.217
0.51	0.217
0.386	0.329
0.386	0.329
0.386	0.329
0.386	0.329
0.386	0.329
0.386	0.329
0.386	0.329
0.456	0.245
0.456	0.245
0.456	0.245
0.487	0.194
0.487	0.194
0.453	0.277
0.453	0.277
0.506	0.213
0.379	0.301
0.379	0.301
0.379	0.301
0.415	0.256
0.415	0.256
0.415	0.256
0.415	0.256
0.415	0.256
0.415	0.256
0.415	0.256
0.415	0.256
0.415	0.256
0.415	0.256
0.476	0.221
0.476	0.221
0.476	0.221
0.509	0.189
0.509	0.189
0.509	0.189
0.509	0.189
0.509	0.189
0.509	0.189
0.509	0.189
0.509	0.189
0.509	0.189
0.446	0.221
0.446	0.221
0.446	0.221
0.446	0.221
0.446	0.221
0.404	0.346
0.404	0.346
0.404	0.346
0.404	0.346
0.404	0.346
0.404	0.346
0.501	0.259
0.501	0.259
0.501	0.259
0.562	0.162
0.422	0.301
0.422	0.301
0.422	0.301
0.446	0.251
0.446	0.251
0.446	0.251
0.446	0.251
0.407	0.312
0.407	0.312
0.407	0.312
0.407	0.312
0.407	0.312
0.407	0.312
0.407	0.312
0.484	0.221
0.4	0.307
0.4	0.307
0.4	0.307
0.409	0.29
0.409	0.29
0.409	0.29
0.409	0.29
0.409	0.29
0.467	0.278
0.467	0.278
0.467	0.278
0.467	0.278
0.467	0.278
0.467	0.278
0.467	0.278
0.455	0.271
0.455	0.271
0.455	0.271
0.47	0.221
0.367	0.353
0.367	0.353
0.367	0.353
0.367	0.353
0.367	0.353
0.367	0.353
0.431	0.239
0.431	0.239
0.424	0.274
0.424	0.274
0.424	0.274
0.456	0.22
0.456	0.22
0.456	0.22
0.456	0.22
0.456	0.22
0.412	0.255
0.523	0.178
0.386	0.315
0.386	0.315
0.386	0.315
0.386	0.315
0.386	0.315
0.386	0.315
0.528	0.179
0.528	0.179
0.528	0.179
0.528	0.179
0.528	0.179
0.464	0.209
0.464	0.209
0.464	0.209
0.464	0.209
0.464	0.209
0.464	0.209
0.433	0.249
0.433	0.249
0.448	0.229
0.448	0.229
0.454	0.231
0.454	0.231
0.467	0.23
0.467	0.23
0.417	0.266
0.417	0.266
0.417	0.266
0.417	0.266
