day,.id,S,E,Ia,Ip,Is,Im,I,I_new_sympt,D_new_reported,D_new_unreported,dIpIs_save,dIpIm_save,dEIa_save,H,Hr,Hd,R,D,D_new,H_new,thresh_crossed,import_total,deaths,cases,total_H
1,45,4094335,1009,518,360,18,455,1351,0,0,0,0,0,0,124,74,50,175709,1020,0,0,0,0,0,0,47626
1,46,4095767,985,493,360,38,397,1288,0,0,0,0,0,0,141,95,46,174318,1049,0,0,0,0,0,0,46016
1,47,4094763,968,496,377,23,424,1320,0,0,0,0,0,0,134,96,38,175343,1020,0,0,0,0,0,0,46616
1,48,4094442,1010,490,363,18,457,1328,0,0,0,0,0,0,140,89,51,175575,1053,0,0,0,0,0,0,50608
1,49,4095038,964,518,325,16,441,1300,0,0,0,0,0,0,136,85,51,175027,1083,0,0,0,0,0,0,48362
1,50,4094243,1051,475,338,32,464,1309,0,0,0,0,0,0,138,91,47,175715,1092,0,0,0,0,0,0,49794
1,51,4095005,1066,502,353,19,467,1341,0,0,0,0,0,0,147,90,57,174970,1019,0,0,0,0,0,0,51128
1,52,4095452,1005,519,349,9,459,1336,0,0,0,0,0,0,123,79,44,174557,1075,0,0,0,0,0,0,47637
1,53,4095038,1037,517,361,23,455,1356,0,0,0,0,0,0,124,78,46,174934,1059,0,0,0,0,0,0,46323
1,54,4094975,1017,523,342,28,451,1344,0,0,0,0,0,0,133,84,49,175023,1056,0,0,0,0,0,0,45924
1,55,4094904,979,511,368,16,421,1316,0,0,0,0,0,0,123,73,50,175120,1106,0,0,0,0,0,0,47284
1,56,4094781,1012,485,344,32,461,1322,0,0,0,0,0,0,134,86,48,175288,1011,0,0,0,0,0,0,51360
1,57,4094642,959,501,378,22,446,1347,0,0,0,0,0,0,128,78,50,175370,1102,0,0,0,0,0,0,46247
1,58,4094931,1011,517,343,18,450,1328,0,0,0,0,0,0,126,88,38,175096,1056,0,0,0,0,0,0,48680
1,59,4095386,1055,500,362,16,445,1323,0,0,0,0,0,0,125,79,46,174647,1012,0,0,0,0,0,0,48959
1,60,4094744,1029,494,387,28,464,1373,0,0,0,0,0,0,139,96,43,175194,1069,0,0,0,0,0,0,50294
1,61,4094399,1100,494,351,20,480,1345,0,0,0,0,0,0,144,95,49,175505,1055,0,0,0,0,0,0,46029
1,62,4093999,1029,501,336,16,402,1255,0,0,0,0,0,0,139,83,56,176041,1085,0,0,0,0,0,0,47060
1,63,4095099,1003,495,331,19,416,1261,0,0,0,0,0,0,129,90,39,175018,1038,0,0,0,0,0,0,40523
1,64,4094239,1029,487,338,24,457,1306,0,0,0,0,0,0,129,78,51,175796,1049,0,0,0,0,0,0,44995
1,65,4094795,999,537,362,16,455,1370,0,0,0,0,0,0,136,87,49,175244,1004,0,0,0,0,0,0,48338
1,66,4094377,1073,471,368,28,473,1340,0,0,0,0,0,0,120,76,44,175596,1042,0,0,0,0,0,0,48012
1,67,4095555,976,509,364,19,440,1332,0,0,0,0,0,0,140,88,52,174529,1016,0,0,0,0,0,0,45211
1,68,4095193,1090,519,333,21,463,1336,0,0,0,0,0,0,124,80,44,174762,1043,0,0,0,0,0,0,48193
1,69,4095162,1051,507,352,18,412,1289,0,0,0,0,0,0,124,81,43,174843,1079,0,0,0,0,0,0,46837
1,70,4094868,1006,495,338,24,415,1272,0,0,0,0,0,0,133,92,41,175275,994,0,0,0,0,0,0,45930
1,71,4095077,1039,538,372,17,431,1358,0,0,0,0,0,0,118,78,40,174926,1030,0,0,0,0,0,0,45600
1,72,4095085,1011,534,334,21,444,1333,0,0,0,0,0,0,164,114,50,174904,1051,0,0,0,0,0,0,47071
1,73,4094304,979,523,361,17,429,1330,0,0,0,0,0,0,145,92,53,175714,1076,0,0,0,0,0,0,48630
1,74,4094551,1013,470,362,27,459,1318,0,0,0,0,0,0,117,73,44,175481,1068,0,0,0,0,0,0,45554
1,75,4094926,1000,474,346,28,418,1266,0,0,0,0,0,0,128,92,36,175229,999,0,0,0,0,0,0,46495
1,76,4095201,932,480,348,18,423,1269,0,0,0,0,0,0,144,85,59,174971,1031,0,0,0,0,0,0,45121
1,77,4094406,1043,527,339,25,426,1317,0,0,0,0,0,0,140,91,49,175629,1013,0,0,0,0,0,0,47501
1,78,4094587,1002,538,353,23,476,1390,0,0,0,0,0,0,119,79,40,175414,1036,0,0,0,0,0,0,45198
1,79,4094086,1033,519,380,26,448,1373,0,0,0,0,0,0,133,90,43,175897,1026,0,0,0,0,0,0,46627
1,80,4095156,1014,537,353,24,416,1330,0,0,0,0,0,0,134,88,46,174860,1054,0,0,0,0,0,0,48628
1,81,4095278,987,525,349,16,448,1338,0,0,0,0,0,0,139,91,48,174769,1037,0,0,0,0,0,0,48468
1,82,4095077,980,445,367,26,412,1250,0,0,0,0,0,0,113,80,33,175016,1112,0,0,0,0,0,0,42366
1,83,4095307,1025,549,360,24,446,1379,0,0,0,0,0,0,133,94,39,174661,1043,0,0,0,0,0,0,44435
1,84,4094591,955,514,342,23,469,1348,0,0,0,0,0,0,124,79,45,175527,1003,0,0,0,0,0,0,44334
1,85,4094140,1036,502,332,20,418,1272,0,0,0,0,0,0,136,89,47,175911,1053,0,0,0,0,0,0,42486
1,86,4094127,1064,519,349,25,436,1329,0,0,0,0,0,0,137,89,48,175846,1045,0,0,0,0,0,0,46309
1,87,4094923,981,504,327,17,461,1309,0,0,0,0,0,0,125,80,45,175110,1100,0,0,0,0,0,0,46192
1,88,4094178,1014,485,349,23,409,1266,0,0,0,0,0,0,133,87,46,175913,1044,0,0,0,0,0,0,43420
1,89,4094957,975,484,360,11,447,1302,0,0,0,0,0,0,137,84,53,175153,1024,0,0,0,0,0,0,46130
1,90,4094580,1023,502,335,20,478,1335,0,0,0,0,0,0,112,70,42,175484,1014,0,0,0,0,0,0,49325
1,91,4095314,980,511,352,23,431,1317,0,0,0,0,0,0,147,105,42,174709,1081,0,0,0,0,0,0,45439
1,92,4094094,1009,507,373,26,424,1330,0,0,0,0,0,0,143,90,53,175922,1050,0,0,0,0,0,0,48223
1,93,4094107,1037,493,387,32,444,1356,0,0,0,0,0,0,136,92,44,175869,1043,0,0,0,0,0,0,47308
1,94,4093913,1001,510,345,17,452,1324,0,0,0,0,0,0,140,86,54,176131,1039,0,0,0,0,0,0,46181
1,95,4094810,1022,551,350,20,426,1347,0,0,0,0,0,0,156,104,52,175148,1065,0,0,0,0,0,0,45499
1,96,4095132,992,485,388,21,433,1327,0,0,0,0,0,0,126,84,42,174924,1047,0,0,0,0,0,0,42810
1,97,4094280,1015,506,346,19,447,1318,0,0,0,0,0,0,114,79,35,175789,1032,0,0,0,0,0,0,49342
1,98,4095389,1023,535,335,20,446,1336,0,0,0,0,0,0,129,74,55,174638,1033,0,0,0,0,0,0,50148
1,99,4094453,1022,475,349,27,451,1302,0,0,0,0,0,0,134,89,45,175600,1037,0,0,0,0,0,0,47664
1,100,4094790,994,498,386,23,437,1344,0,0,0,0,0,0,122,75,47,175183,1115,0,0,0,0,0,0,44632
1,101,4094826,987,502,381,23,425,1331,0,0,0,0,0,0,122,79,43,175228,1054,0,0,0,0,0,0,44313
1,102,4095014,1000,483,329,22,439,1273,0,0,0,0,0,0,115,72,43,175110,1036,0,0,0,0,0,0,45618
1,103,4095167,1005,485,361,25,405,1276,0,0,0,0,0,0,138,91,47,174900,1062,0,0,0,0,0,0,46090
1,104,4094946,1016,511,363,22,435,1331,0,0,0,0,0,0,150,97,53,175052,1053,0,0,0,0,0,0,50008
1,105,4094774,970,518,379,14,415,1326,0,0,0,0,0,0,129,76,53,175321,1028,0,0,0,0,0,0,46243
1,106,4094981,1021,474,359,23,419,1275,0,0,0,0,0,0,153,99,54,175084,1034,0,0,0,0,0,0,47684
1,107,4095909,1039,471,355,21,420,1267,0,0,0,0,0,0,116,73,43,174214,1003,0,0,0,0,0,0,47995
1,108,4094650,1033,507,375,18,473,1373,0,0,0,0,0,0,110,68,42,175349,1033,0,0,0,0,0,0,44498
1,109,4094767,1001,495,351,21,416,1283,0,0,0,0,0,0,115,74,41,175384,998,0,0,0,0,0,0,45109
1,110,4094270,1023,505,369,18,431,1323,0,0,0,0,0,0,137,87,50,175759,1036,0,0,0,0,0,0,50086
1,111,4095045,1028,534,367,12,451,1364,0,0,0,0,0,0,137,85,52,175002,972,0,0,0,0,0,0,49500
1,112,4095016,1008,568,359,16,442,1385,0,0,0,0,0,0,117,79,38,175028,994,0,0,0,0,0,0,50022
1,113,4093944,995,492,335,18,427,1272,0,0,0,0,0,0,133,85,48,176130,1074,0,0,0,0,0,0,46545
1,114,4094348,999,492,362,29,423,1306,0,0,0,0,0,0,124,83,41,175659,1112,0,0,0,0,0,0,47864
1,115,4094852,993,465,344,30,437,1276,0,0,0,0,0,0,144,101,43,175288,995,0,0,0,0,0,0,43970
1,116,4095296,1048,460,374,18,461,1313,0,0,0,0,0,0,156,108,48,174690,1045,0,0,0,0,0,0,44658
1,117,4095381,988,461,340,22,434,1257,0,0,0,0,0,0,134,95,39,174719,1069,0,0,0,0,0,0,47170
1,118,4094826,1030,486,366,33,441,1326,0,0,0,0,0,0,120,83,37,175237,1009,0,0,0,0,0,0,48945
