day,.id,S,E,Ia,Ip,Is,Im,I,I_new_sympt,D_new_reported,D_new_unreported,dIpIs_save,dIpIm_save,dEIa_save,H,Hr,Hd,R,D,D_new,H_new,thresh_crossed,import_total,deaths,cases,uncases,total_H
1,43,1633156,3278,625,206,70,939,1840,0,0,0,0,0,0,97,64,33,298510,1119,0,0,0,0,0,0,0,36497
1,44,1633096,3304,621,199,65,965,1850,0,0,0,0,0,0,91,60,31,298557,1102,0,0,0,0,0,0,0,38233
1,45,1633067,3249,616,190,64,953,1823,0,0,0,0,0,0,86,53,33,298718,1057,0,0,0,0,0,0,0,37180
1,46,1634957,3206,589,190,99,869,1747,0,0,0,0,0,0,101,71,30,296903,1086,0,0,0,0,0,0,0,37358
1,47,1633658,3176,592,202,72,908,1774,0,0,0,0,0,0,94,71,23,298241,1057,0,0,0,0,0,0,0,36555
1,48,1633217,3251,586,192,64,956,1798,0,0,0,0,0,0,100,66,34,298543,1091,0,0,0,0,0,0,0,37191
1,49,1634011,3169,616,165,60,934,1775,0,0,0,0,0,0,96,62,34,297828,1121,0,0,0,0,0,0,0,36992
1,50,1633308,3324,569,174,51,944,1738,0,0,0,0,0,0,102,66,36,298441,1087,0,0,0,0,0,0,0,38874
1,51,1633194,3337,634,205,70,931,1840,0,0,0,0,0,0,94,57,37,298399,1136,0,0,0,0,0,0,0,37352
1,52,1634154,3236,579,179,76,923,1757,0,0,0,0,0,0,75,40,35,297706,1072,0,0,0,0,0,0,0,38739
1,53,1634178,3179,621,192,75,944,1832,0,0,0,0,0,0,97,63,34,297628,1086,0,0,0,0,0,0,0,38539
1,54,1633908,3231,609,184,70,989,1852,0,0,0,0,0,0,93,58,35,297823,1093,0,0,0,0,0,0,0,36401
1,55,1633859,3195,608,196,60,904,1768,0,0,0,0,0,0,85,52,33,297949,1144,0,0,0,0,0,0,0,36383
1,56,1633626,3255,580,178,87,963,1808,0,0,0,0,0,0,94,62,32,298169,1048,0,0,0,0,0,0,0,36782
1,57,1633525,3160,597,203,69,941,1810,0,0,0,0,0,0,89,56,33,298276,1140,0,0,0,0,0,0,0,37070
1,58,1633843,3253,615,178,64,946,1803,0,0,0,0,0,0,88,65,23,297919,1094,0,0,0,0,0,0,0,37843
1,59,1634416,3331,596,191,59,939,1785,0,0,0,0,0,0,86,57,29,297333,1049,0,0,0,0,0,0,0,35982
1,60,1633618,3284,589,209,81,967,1846,0,0,0,0,0,0,99,71,28,298046,1107,0,0,0,0,0,0,0,39896
1,61,1633112,3412,590,183,66,990,1829,0,0,0,0,0,0,102,70,32,298452,1093,0,0,0,0,0,0,0,39129
1,62,1632641,3284,597,172,59,876,1704,0,0,0,0,0,0,97,60,37,299151,1123,0,0,0,0,0,0,0,36801
1,63,1634058,3238,591,169,64,897,1721,0,0,0,0,0,0,90,66,24,297818,1075,0,0,0,0,0,0,0,36737
1,64,1632921,3285,582,174,74,957,1787,0,0,0,0,0,0,90,56,34,298831,1086,0,0,0,0,0,0,0,37791
1,65,1633681,3230,637,191,59,954,1841,0,0,0,0,0,0,96,64,32,298112,1040,0,0,0,0,0,0,0,36626
1,66,1633081,3364,565,196,81,981,1823,0,0,0,0,0,0,82,54,28,298571,1079,0,0,0,0,0,0,0,38055
1,67,1634685,3189,606,192,65,932,1795,0,0,0,0,0,0,99,65,34,297179,1053,0,0,0,0,0,0,0,38407
1,68,1634150,3394,617,170,68,938,1793,0,0,0,0,0,0,100,72,28,297483,1080,0,0,0,0,0,0,0,37079
1,69,1634142,3323,604,184,63,892,1743,0,0,0,0,0,0,86,58,28,297589,1117,0,0,0,0,0,0,0,38764
1,70,1633745,3244,591,174,74,895,1734,0,0,0,0,0,0,94,68,26,298152,1031,0,0,0,0,0,0,0,38937
1,71,1634036,3303,638,198,61,919,1816,0,0,0,0,0,0,81,56,25,297697,1067,0,0,0,0,0,0,0,36633
1,72,1634062,3252,633,171,69,938,1811,0,0,0,0,0,0,119,86,33,297668,1088,0,0,0,0,0,0,0,36399
1,73,1633073,3195,621,191,62,916,1790,0,0,0,0,0,0,103,68,35,298725,1114,0,0,0,0,0,0,0,36138
1,74,1633344,3256,564,191,80,959,1794,0,0,0,0,0,0,79,51,28,298421,1106,0,0,0,0,0,0,0,37839
1,75,1633821,3233,568,180,81,901,1730,0,0,0,0,0,0,89,68,21,298092,1035,0,0,0,0,0,0,0,35760
1,76,1634238,3110,575,181,63,908,1727,0,0,0,0,0,0,102,62,40,297755,1068,0,0,0,0,0,0,0,35469
1,77,1633140,3309,626,175,76,912,1789,0,0,0,0,0,0,99,67,32,298614,1049,0,0,0,0,0,0,0,36994
1,78,1633397,3237,638,184,72,984,1878,0,0,0,0,0,0,82,57,25,298333,1073,0,0,0,0,0,0,0,38402
1,79,1632746,3292,617,205,77,943,1842,0,0,0,0,0,0,93,66,27,298964,1063,0,0,0,0,0,0,0,36783
1,80,1634154,3258,637,185,75,897,1794,0,0,0,0,0,0,93,64,29,297610,1091,0,0,0,0,0,0,0,38451
1,81,1634318,3209,623,182,60,943,1808,0,0,0,0,0,0,98,67,31,297493,1074,0,0,0,0,0,0,0,36751
1,82,1634060,3196,536,195,78,892,1701,0,0,0,0,0,0,78,58,20,297814,1151,0,0,0,0,0,0,0,37429
1,83,1634343,3278,649,190,73,941,1853,0,0,0,0,0,0,94,70,24,297351,1081,0,0,0,0,0,0,0,36733
1,84,1633406,3152,612,177,72,974,1835,0,0,0,0,0,0,86,57,29,298481,1040,0,0,0,0,0,0,0,36160
1,85,1632772,3296,598,169,65,932,1764,0,0,0,0,0,0,96,66,30,298982,1090,0,0,0,0,0,0,0,38018
1,86,1632776,3348,617,182,75,926,1800,0,0,0,0,0,0,96,65,31,298897,1083,0,0,0,0,0,0,0,36082
1,87,1633904,3181,630,192,84,897,1803,0,0,0,0,0,0,97,70,27,297973,1042,0,0,0,0,0,0,0,37111
1,88,1633554,3224,629,225,69,952,1875,0,0,0,0,0,0,97,67,30,298168,1082,0,0,0,0,0,0,0,38654
1,89,1633742,3334,592,169,52,940,1753,0,0,0,0,0,0,99,67,32,298007,1065,0,0,0,0,0,0,0,35389
1,90,1633194,3196,662,199,62,901,1824,0,0,0,0,0,0,90,62,28,298599,1097,0,0,0,0,0,0,0,35733
1,91,1634134,3306,575,168,73,929,1745,0,0,0,0,0,0,75,49,26,297695,1045,0,0,0,0,0,0,0,37116
1,92,1633027,3327,592,187,79,955,1813,0,0,0,0,0,0,89,56,33,298603,1141,0,0,0,0,0,0,0,37140
1,93,1633247,3274,613,179,85,899,1776,0,0,0,0,0,0,92,69,23,298490,1121,0,0,0,0,0,0,0,38091
1,94,1633237,3368,619,186,83,956,1844,0,0,0,0,0,0,103,74,29,298358,1090,0,0,0,0,0,0,0,38081
1,95,1633822,3286,589,171,76,935,1771,0,0,0,0,0,0,113,71,42,297921,1087,0,0,0,0,0,0,0,36276
1,96,1634040,3390,596,179,65,993,1833,0,0,0,0,0,0,98,69,29,297583,1056,0,0,0,0,0,0,0,37527
1,97,1633681,3222,644,181,81,928,1834,0,0,0,0,0,0,87,58,29,298062,1114,0,0,0,0,0,0,0,38110
1,98,1633986,3275,590,177,74,912,1753,0,0,0,0,0,0,86,49,37,297812,1088,0,0,0,0,0,0,0,37075
1,99,1633919,3349,576,180,73,895,1724,0,0,0,0,0,0,94,72,22,297828,1086,0,0,0,0,0,0,0,38341
1,100,1633936,3196,595,200,75,943,1813,0,0,0,0,0,0,96,61,35,297901,1058,0,0,0,0,0,0,0,37741
1,101,1633615,3253,642,188,70,946,1846,0,0,0,0,0,0,100,69,31,298032,1154,0,0,0,0,0,0,0,37665
1,102,1633741,3209,599,205,71,910,1785,0,0,0,0,0,0,83,56,27,298091,1091,0,0,0,0,0,0,0,37436
1,103,1633932,3233,578,168,70,931,1747,0,0,0,0,0,0,78,51,27,297937,1073,0,0,0,0,0,0,0,38488
