"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"107",6093342,34113,26081,3867,25685,11891,467478,2010,9146
"108",6081048,34645,26504,3933,26122,12139,478064,2044,9294
"109",6068573,35175,26926,3998,26561,12390,488833,2077,9446
"110",6055920,35698,27349,4063,26999,12643,499784,2110,9597
"111",6043091,36218,27767,4128,27436,12899,510917,2143,9748
"112",6030086,36733,28184,4192,27871,13157,522233,2176,9897
"113",6016910,37241,28598,4257,28304,13417,533728,2209,10045
"114",6003563,37746,29005,4321,28737,13679,545405,2241,10194
"115",5990049,38244,29411,4384,29165,13943,557260,2273,10337
"116",5976370,38736,29811,4446,29592,14210,569293,2304,10483
"117",5962531,39218,30207,4508,30012,14477,581503,2336,10624
"118",5948534,39690,30598,4569,30430,14745,593889,2366,10767
"119",5934382,40155,30982,4631,30843,15015,606449,2398,10906
"120",5920079,40612,31359,4690,31250,15286,619181,2427,11042
