E0,sim_start,int_start1,int_length2,soc_dist_level_wfh,Ca,delta,mu,int_start2,int_length1,beta0est,alphaest,alpha1est,paramset,iso_start,log_lik,R0,Reff,E_init,soc_dist_level_sip
4,2020-04-29,2020-07-19,76,1,0.45,0.225,0.93125,2020-07-19,0,0,0,0,1,2020-10-03,0,0,0,0,NA
6,2020-04-29,2020-07-19,76,1,0.65,0.125,0.95625,2020-07-19,0,0,0,0,2,2020-10-03,0,0,0,0,NA
5,2020-04-29,2020-07-19,76,1,0.75,0.275,0.94375,2020-07-19,0,0,0,0,3,2020-10-03,0,0,0,0,NA
3,2020-04-29,2020-07-19,76,1,0.55,0.175,0.96875,2020-07-19,0,0,0,0,4,2020-10-03,0,0,0,0,NA
4,2020-04-29,2020-07-19,76,1,0.425,0.2875,0.934375,2020-07-19,0,0.128559919196022,0.0803103882610567,0.201538125178421,5,2020-10-03,-2504.81284843033,0.85836252884475,0.471041035418018,0,0.562622747966987
