sim_start,int_start1,int_length2,soc_dist_level_wfh,Ca,delta,mu,int_start2,int_length1,beta0est,alphaest,alpha1est,paramset,iso_start,log_lik,R0,Reff,E_init,soc_dist_level_sip,Ia_init,Ip_init,Is_init,Im_init,Hr_init,Hd_init,R0_init,D0_init
2020-10-01,2021-05-15,76,0.875,0.45,0.225,0.93125,2021-05-15,0,0,0,0,1,2021-07-30,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-01,2021-05-15,76,0.775,0.65,0.125,0.95625,2021-05-15,0,0,0,0,2,2021-07-30,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-01,2021-05-15,76,0.725,0.75,0.275,0.94375,2021-05-15,0,0,0,0,3,2021-07-30,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-01,2021-05-15,76,0.825,0.55,0.175,0.96875,2021-05-15,0,0,0,0,4,2021-07-30,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-01,2021-05-15,76,0.8125,0.425,0.2875,0.934375,2021-05-15,0,0.65227035742164,0.894111274249547,1.62050387532401,5,2021-07-30,-35.5952613227105,2.21850332322287,0.462858064856851,649.015981771605,0.289205116178171,463.628536019358,27.0392688483242,2.36373593255466,69.2424411298235,24.2450826086995,17.5353490943179,156374.150479152,402.648267328839
