b1	r1
0.402	0.244
0.398	0.251
0.398	0.251
0.397	0.254
0.397	0.254
0.397	0.254
0.397	0.254
0.397	0.254
0.397	0.254
0.397	0.254
0.397	0.254
0.403	0.249
0.403	0.249
0.403	0.249
0.403	0.249
0.397	0.256
0.399	0.256
0.399	0.256
0.399	0.256
0.401	0.248
0.397	0.257
0.405	0.235
0.399	0.254
0.402	0.245
0.404	0.24
0.404	0.24
0.404	0.24
0.398	0.252
0.398	0.252
0.398	0.252
0.4	0.246
0.4	0.246
0.4	0.246
0.401	0.248
0.407	0.246
0.402	0.251
0.403	0.243
0.403	0.243
0.401	0.247
0.401	0.247
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.397	0.257
0.397	0.257
0.397	0.257
0.397	0.257
0.401	0.246
0.401	0.246
0.401	0.246
0.399	0.255
0.399	0.255
0.399	0.255
0.399	0.252
0.399	0.252
0.399	0.252
0.399	0.252
0.399	0.252
0.399	0.252
0.403	0.246
0.403	0.246
0.403	0.245
0.403	0.245
0.398	0.255
0.398	0.255
0.398	0.255
0.398	0.255
0.398	0.255
0.398	0.255
0.403	0.243
0.403	0.243
0.403	0.243
0.396	0.258
0.396	0.258
0.396	0.258
0.396	0.258
0.396	0.258
0.396	0.258
0.401	0.246
0.401	0.246
0.401	0.246
0.4	0.25
0.4	0.25
0.4	0.25
0.4	0.25
0.4	0.25
0.4	0.25
0.4	0.25
0.406	0.245
0.406	0.245
0.403	0.247
0.403	0.247
0.403	0.247
0.399	0.247
0.399	0.247
0.399	0.247
0.399	0.247
0.397	0.255
0.404	0.246
0.401	0.246
0.401	0.246
0.404	0.237
0.404	0.237
0.404	0.237
0.404	0.237
0.404	0.237
0.401	0.248
0.4	0.252
0.398	0.253
0.399	0.257
0.406	0.242
0.406	0.242
0.402	0.25
0.402	0.25
0.402	0.25
0.398	0.247
0.398	0.247
0.398	0.247
0.398	0.247
0.401	0.245
0.401	0.245
0.402	0.248
0.403	0.245
0.403	0.245
0.403	0.245
0.398	0.25
0.398	0.25
0.398	0.25
0.398	0.25
0.405	0.238
0.398	0.251
0.396	0.258
0.396	0.258
0.403	0.244
0.403	0.244
0.403	0.244
0.403	0.244
0.403	0.244
0.404	0.238
0.399	0.255
0.4	0.249
0.4	0.249
0.401	0.248
0.401	0.248
0.401	0.248
0.401	0.248
0.401	0.248
0.401	0.248
0.396	0.255
0.396	0.255
0.396	0.255
0.396	0.255
0.396	0.255
0.396	0.255
0.4	0.248
0.4	0.248
0.4	0.248
0.4	0.248
0.4	0.248
0.4	0.248
0.4	0.248
0.405	0.242
