E0,sim_start,int_start1,int_length2,soc_dist_level_wfh,Ca,delta,mu,int_start2,int_length1,beta0est,alphaest,alpha1est,paramset,iso_start,log_lik,R0,Reff,E_init,soc_dist_level_sip
4,2020-04-03,2020-07-12,76,0.875,0.45,0.225,0.93125,2020-07-12,0,0,0,0,1,2020-09-26,0,0,0,0,NA
6,2020-04-03,2020-07-12,76,0.775,0.65,0.125,0.95625,2020-07-12,0,0,0,0,2,2020-09-26,0,0,0,0,NA
5,2020-04-03,2020-07-12,76,0.725,0.75,0.275,0.94375,2020-07-12,0,0,0,0,3,2020-09-26,0,0,0,0,NA
3,2020-04-03,2020-07-12,76,0.825,0.55,0.175,0.96875,2020-07-12,0,0,0,0,4,2020-09-26,0,0,0,0,NA
4,2020-04-03,2020-07-12,76,0.8125,0.425,0.2875,0.934375,2020-07-12,0,0.24006008889235,0.748806233649997,0.38723018916308,5,2020-09-26,-1126.20541490757,0.956892695918464,0.304636714305395,0,0.322151592559424
