"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",3854818,1076,838,487,38,87,134,308,26
"2",3854446,1078,845,575,53,166,318,337,28
"3",3854035,1116,849,620,63,256,540,339,28
"4",3853604,1163,865,644,69,351,784,341,28
"5",3853159,1206,890,662,74,446,1042,347,29
"6",3852702,1248,919,680,78,542,1310,357,30
"7",3852230,1289,950,702,82,637,1590,369,31
"8",3851742,1332,981,724,85,733,1881,381,32
"9",3851239,1376,1014,748,88,829,2185,394,33
"10",3850718,1422,1048,772,92,926,2501,407,34
"11",3850181,1469,1083,798,95,1024,2830,421,35
"12",3849626,1518,1118,825,98,1123,3172,435,36
"13",3849053,1568,1155,852,101,1223,3528,449,37
"14",3848460,1619,1194,880,105,1324,3897,464,38
"15",3847849,1673,1233,909,108,1426,4281,479,40
"16",3847217,1728,1274,939,112,1531,4679,495,41
"17",3846564,1785,1315,970,116,1636,5093,512,42
"18",3845890,1844,1359,1002,120,1743,5522,528,44
"19",3845193,1905,1404,1035,124,1852,5967,545,45
"20",3844474,1967,1450,1069,128,1962,6428,564,47
"21",3843732,2031,1498,1104,132,2075,6906,582,48
"22",3842964,2098,1547,1141,136,2190,7402,601,50
"23",3842172,2167,1598,1179,141,2307,7915,621,51
"24",3841354,2238,1650,1217,145,2427,8447,642,53
"25",3840509,2311,1704,1258,150,2549,8998,663,55
"26",3839637,2386,1761,1298,155,2673,9569,684,57
"27",3838737,2464,1818,1341,160,2801,10159,707,59
"28",3837807,2544,1877,1385,166,2931,10770,730,60
"29",3836847,2626,1938,1430,171,3064,11402,753,63
"30",3835856,2711,2001,1477,176,3200,12057,778,64
"31",3834833,2799,2066,1525,182,3340,12734,804,67
"32",3833777,2890,2133,1575,188,3482,13433,829,69
"33",3832686,2984,2203,1626,194,3629,14158,857,71
"34",3831561,3080,2273,1678,201,3779,14906,884,74
"35",3830400,3179,2347,1733,207,3932,15680,913,76
"36",3829201,3282,2423,1789,214,4090,16480,942,78
"37",3827964,3387,2501,1846,221,4252,17307,973,81
"38",3826689,3495,2582,1906,228,4418,18162,1004,83
"39",3825372,3607,2664,1967,236,4588,19045,1037,86
"40",3824012,3722,2750,2030,243,4763,19958,1069,89
"41",3822610,3841,2838,2095,251,4943,20900,1104,92
"42",3821163,3964,2928,2163,259,5128,21874,1139,95
"43",3819670,4090,3022,2232,268,5317,22880,1175,98
"44",3818130,4220,3118,2303,276,5512,23919,1213,101
"45",3816542,4352,3218,2377,285,5712,24992,1252,104
"46",3814904,4490,3319,2453,294,5918,26100,1291,107
"47",3813215,4631,3424,2531,304,6129,27245,1332,111
"48",3811473,4776,3532,2611,313,6347,28426,1375,114
"49",3809677,4926,3643,2693,323,6571,29646,1418,118
"50",3807825,5079,3759,2778,333,6801,30905,1462,122
"51",3805915,5237,3875,2866,344,7037,32205,1509,125
"52",3803947,5400,3996,2955,355,7280,33546,1555,129
"53",3801918,5567,4121,3047,366,7530,34930,1604,133
"54",3799826,5739,4249,3142,377,7787,36358,1654,138
"55",3797671,5915,4380,3241,389,8051,37832,1706,142
"56",3795450,6096,4516,3341,401,8323,39351,1758,146
"57",3793161,6283,4655,3445,414,8603,40918,1812,151
"58",3790803,6475,4798,3551,427,8890,42535,1868,156
"59",3788373,6672,4945,3660,440,9185,44204,1926,160
"60",3785871,6874,5096,3772,453,9489,45924,1984,165
"61",3783294,7080,5251,3887,467,9802,47698,2045,170
"62",3780641,7292,5409,4006,482,10123,49526,2108,175
"63",3777908,7511,5571,4128,497,10453,51411,2171,181
"64",3775095,7734,5739,4253,511,10793,53354,2236,186
"65",3772200,7962,5911,4380,527,11141,55357,2303,192
"66",3769219,8197,6086,4512,543,11500,57421,2373,198
"67",3766151,8439,6267,4647,559,11869,59547,2443,203
"68",3762995,8684,6452,4786,576,12248,61738,2515,210
"69",3759748,8937,6642,4927,593,12637,63995,2589,216
"70",3756407,9195,6835,5074,611,13037,66320,2666,222
"71",3752971,9461,7034,5221,629,13447,68715,2743,229
"72",3749439,9730,7240,5372,647,13869,71181,2822,235
"73",3745807,10008,7447,5529,667,14303,73719,2905,242
"74",3742074,10290,7660,5689,686,14747,76332,2988,249
"75",3738236,10580,7877,5854,706,15204,79022,3074,257
"76",3734293,10875,8101,6020,726,15673,81791,3161,264
"77",3730243,11176,8328,6191,747,16154,84640,3250,271
"78",3726082,11483,8561,6367,768,16647,87571,3342,279
"79",3721808,11797,8798,6547,790,17154,90586,3436,287
"80",3717420,12117,9041,6729,812,17673,93687,3530,295
"81",3712916,12443,9288,6914,835,18206,96877,3628,303
"82",3708293,12774,9542,7105,858,18751,100156,3727,311
"83",3703550,13113,9797,7300,882,19310,103527,3829,320
"84",3698685,13456,10060,7497,906,19884,106991,3931,328
"85",3693695,13805,10327,7699,930,20471,110552,4037,337
"86",3688578,14162,10597,7905,956,21072,114209,4144,346
"87",3683332,14524,10873,8114,981,21687,117967,4253,355
"88",3677956,14892,11154,8326,1007,22317,121827,4363,364
"89",3672448,15265,11440,8543,1034,22961,125789,4476,374
"90",3666806,15644,11730,8763,1061,23620,129856,4590,383
"91",3661029,16025,12025,8988,1088,24293,134031,4707,393
"92",3655114,16415,12323,9215,1116,24982,138315,4824,403
"93",3649059,16808,12627,9445,1144,25684,142711,4944,413
"94",3642866,17206,12932,9681,1173,26402,147219,5067,423
"95",3636531,17608,13244,9918,1201,27136,151842,5189,433
"96",3630052,18015,13557,10160,1231,27884,156581,5315,444
"97",3623430,18425,13874,10404,1261,28648,161438,5440,454
"98",3616664,18838,14196,10648,1291,29426,166415,5566,465
"99",3609753,19253,14520,10898,1322,30220,171513,5696,476
"100",3602695,19673,14844,11150,1353,31029,176734,5826,487
"101",3595489,20094,15176,11402,1384,31853,182081,5956,498
"102",3588135,20520,15507,11659,1416,32691,187552,6089,509
"103",3580634,20945,15839,11920,1447,33544,193150,6223,520
"104",3572983,21374,16176,12178,1479,34413,198877,6355,531
"105",3565186,21802,16511,12438,1512,35296,204733,6491,543
"106",3557240,22229,16851,12702,1544,36193,210720,6625,554
"107",3549146,22659,17190,12966,1577,37103,216838,6760,565
"108",3540905,23085,17530,13232,1609,38027,223090,6899,576
"109",3532518,23512,17869,13498,1642,38965,229475,7034,588
"110",3523984,23937,18209,13763,1676,39916,235995,7170,599
"111",3515307,24360,18547,14029,1709,40879,242649,7306,611
"112",3506489,24777,18885,14295,1741,41854,249439,7441,622
"113",3497527,25195,19218,14561,1774,42841,256364,7577,633
"114",3488425,25608,19551,14824,1806,43839,263425,7711,644
"115",3479184,26019,19882,15085,1839,44850,270620,7844,656
"116",3469809,26421,20211,15346,1871,45869,277952,7978,666
"117",3460300,26819,20534,15606,1903,46898,285418,8109,677
"118",3450661,27211,20854,15863,1936,47936,293018,8239,689
"119",3440894,27595,21170,16117,1967,48982,300754,8369,699
"120",3431001,27972,21482,16367,1999,50036,308623,8494,709
