"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"105",3147040,30121,24009,4209,24100,16879,611120,2151,8306
"106",3136755,30019,23959,4204,24079,17018,621446,2148,8290
"107",3126515,29906,23894,4197,24048,17151,631766,2143,8274
"108",3116331,29779,23817,4188,24008,17279,642077,2138,8251
"109",3106203,29638,23731,4177,23953,17401,652376,2131,8224
"110",3096137,29484,23634,4164,23888,17517,662655,2123,8194
"111",3086138,29315,23526,4148,23812,17627,672913,2114,8161
"112",3076210,29134,23406,4131,23724,17731,683143,2105,8124
"113",3066358,28939,23276,4112,23626,17828,693339,2094,8082
"114",3056584,28734,23136,4091,23517,17919,703499,2083,8038
"115",3046894,28514,22985,4069,23397,18004,713616,2070,7989
"116",3037289,28287,22824,4044,23266,18082,723687,2057,7937
"117",3027775,28046,22654,4018,23124,18153,733708,2043,7882
"118",3018354,27797,22474,3990,22972,18217,743674,2027,7823
"119",3009030,27536,22289,3960,22810,18275,753579,2011,7760
"120",2999805,27265,22094,3931,22640,18326,763419,1995,7696
