OnsetDate,CaseNum,CaseSum,UncaseNum,UncaseSum
2020-05-19,11789,11789,27507,27507
2020-05-20,568,12357,1325,28833
2020-05-21,534,12891,1246,30079
2020-05-22,510,13401,1190,31269
2020-05-23,500,13901,1166,32435
2020-05-24,492,14393,1148,33583
2020-05-25,490,14883,1143,34727
2020-05-26,470,15353,1096,35823
2020-05-27,447,15800,1043,36866
2020-05-28,438,16238,1022,37888
2020-05-29,411,16649,959,38847
2020-05-30,399,17048,931,39778
2020-05-31,382,17430,891,40670
2020-06-01,360,17790,840,41510
2020-06-02,338,18128,788,42298
2020-06-03,334,18462,779,43078
2020-06-04,325,18787,758,43836
2020-06-05,315,19102,735,44571
2020-06-06,305,19407,711,45283
2020-06-07,288,19695,672,45955
2020-06-08,287,19982,669,46624
2020-06-09,285,20267,665,47289
2020-06-10,273,20540,637,47926
2020-06-11,270,20810,630,48556
2020-06-12,252,21062,588,49144
2020-06-13,242,21304,564,49709
2020-06-14,242,21546,564,50274
2020-06-15,247,21793,576,50850
2020-06-16,247,22040,576,51426
2020-06-17,243,22283,567,51993
2020-06-18,231,22514,539,52532
2020-06-19,224,22738,522,53055
2020-06-20,226,22964,527,53582
