"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",6296242,20606,15910,1184,8981,157,2265,799,5194
"2",6289579,20163,16097,1501,11879,349,5776,922,5996
"3",6282023,20767,16049,1667,13849,588,10401,934,6066
"4",6273930,21699,16232,1745,15121,846,15772,930,6048
"5",6265454,22693,16657,1793,16023,1109,21616,941,6117
"6",6256643,23679,17239,1842,16774,1371,27797,966,6277
"7",6247496,24661,17908,1899,17487,1632,34262,999,6496
"8",6238000,25654,18626,1965,18205,1894,41001,1038,6748
"9",6228139,26669,19376,2039,18945,2158,48019,1079,7017
"10",6217895,27716,20148,2119,19712,2426,55328,1123,7301
"11",6207259,28794,20946,2203,20507,2698,62937,1168,7592
"12",6196218,29908,21767,2290,21328,2976,70858,1214,7893
"13",6184759,31052,22619,2380,22175,3258,79102,1261,8201
"14",6172871,32232,23493,2473,23053,3546,87677,1311,8524
"15",6160541,33447,24394,2570,23956,3840,96597,1362,8852
"16",6147760,34694,25322,2669,24888,4140,105872,1414,9193
"17",6134513,35977,26277,2772,25846,4447,115513,1468,9540
"18",6120791,37294,27258,2877,26834,4761,125531,1523,9901
"19",6106581,38643,28268,2986,27852,5082,135934,1580,10270
"20",6091874,40027,29302,3097,28900,5410,146737,1638,10652
"21",6076660,41437,30366,3212,29976,5745,157949,1699,11040
"22",6060922,42887,31452,3329,31081,6089,169585,1760,11442
"23",6044655,44366,32565,3449,32216,6442,181653,1823,11852
"24",6027849,45873,33705,3572,33379,6802,194165,1887,12272
"25",6010492,47410,34870,3698,34571,7171,207133,1954,12702
"26",5992577,48977,36057,3827,35790,7548,220568,2021,13140
"27",5974096,50570,37269,3959,37037,7935,234480,2090,13587
"28",5955040,52188,38504,4094,38309,8330,248880,2160,14042
"29",5935403,53829,39760,4231,39606,8735,263780,2231,14509
"30",5915182,55487,41036,4370,40933,9149,279187,2303,14983
"31",5894367,57169,42328,4512,42282,9573,295114,2378,15463
"32",5872959,58863,43637,4656,43654,10006,311569,2452,15952
"33",5850951,60573,44961,4803,45048,10448,328561,2528,16446
"34",5828341,62297,46298,4952,46458,10900,346099,2606,16944
"35",5805131,64024,47650,5101,47885,11362,364191,2682,17448
"36",5781321,65757,49008,5253,49332,11834,382840,2761,17958
"37",5756910,67494,50373,5406,50790,12315,402057,2840,18469
"38",5731906,69223,51748,5560,52258,12805,421846,2919,18982
"39",5706309,70951,53119,5715,53736,13304,442212,2998,19500
"40",5680128,72666,54490,5870,55222,13813,463156,3079,20016
"41",5653369,74368,55855,6024,56713,14331,484685,3158,20534
"42",5626044,76050,57212,6180,58207,14858,506795,3237,21049
"43",5598160,77712,58560,6335,59696,15393,529491,3315,21560
"44",5569729,79345,59897,6487,61179,15935,552773,3392,22068
"45",5540770,80944,61214,6638,62657,16486,576635,3470,22572
"46",5511293,82512,62510,6790,64119,17043,601079,3546,23067
"47",5481323,84027,63786,6939,65565,17606,626099,3622,23556
"48",5450874,85502,65028,7086,66993,18176,651687,3696,24037
"49",5419968,86924,66237,7229,68399,18751,677836,3768,24506
"50",5388627,88292,67414,7369,69773,19331,704539,3837,24960
"51",5356870,89602,68550,7507,71118,19914,731783,3906,25404
"52",5324733,90845,69642,7638,72428,20501,759557,3971,25831
"53",5292238,92013,70688,7767,73696,21091,787851,4036,26245
"54",5259417,93104,71684,7892,74920,21682,816645,4098,26636
"55",5226294,94122,72621,8009,76098,22275,845925,4153,27015
"56",5192904,95055,73504,8118,77225,22868,875671,4206,27368
"57",5159283,95898,74323,8225,78296,23458,905862,4259,27700
"58",5125455,96658,75076,8325,79305,24047,936479,4307,28008
"59",5091461,97323,75763,8417,80250,24633,967498,4350,28293
"60",5057330,97890,76385,8502,81129,25215,998893,4390,28550
"61",5023102,98363,76930,8578,81937,25791,1030643,4425,28785
"62",4988815,98733,77399,8648,82675,26362,1062713,4458,28991
"63",4954500,99004,77792,8709,83333,26924,1095083,4485,29166
"64",4920198,99167,78109,8762,83914,27478,1127717,4507,29315
"65",4885941,99229,78345,8806,84410,28022,1160593,4526,29434
"66",4851771,99182,78498,8842,84828,28555,1193670,4540,29524
"67",4817716,99036,78570,8867,85158,29078,1226922,4548,29581
"68",4783815,98786,78559,8885,85398,29586,1260315,4554,29607
"69",4750108,98430,78468,8891,85554,30081,1293813,4551,29604
"70",4716620,97975,78293,8890,85624,30561,1327384,4546,29572
"71",4683389,97420,78038,8879,85600,31023,1360996,4536,29505
"72",4650448,96766,77704,8859,85490,31469,1394609,4521,29407
"73",4617826,96021,77287,8830,85295,31896,1428192,4503,29283
"74",4585552,95182,76797,8792,85005,32305,1461712,4478,29123
"75",4553658,94254,76228,8746,84636,32693,1495129,4450,28941
"76",4522166,93244,75588,8689,84177,33061,1528420,4417,28726
"77",4491107,92150,74878,8627,83632,33406,1561545,4381,28482
"78",4460503,90979,74097,8553,83012,33731,1594471,4339,28217
"79",4430374,89737,73251,8472,82311,34032,1627168,4293,27923
"80",4400743,88423,72348,8382,81531,34310,1659608,4244,27604
"81",4371628,87048,71384,8286,80679,34563,1691757,4192,27262
"82",4343046,85611,70365,8184,79760,34792,1723587,4137,26901
"83",4315009,84125,69294,8076,78775,34995,1755070,4078,26517
"84",4287536,82589,68176,7960,77724,35175,1786186,4015,26113
"85",4260637,81008,67014,7838,76614,35329,1816905,3950,25692
"86",4234320,79389,65813,7713,75449,35457,1847203,3884,25253
"87",4208597,77737,64576,7582,74230,35561,1877062,3814,24798
"88",4183471,76057,63306,7447,72967,35639,1906458,3743,24333
"89",4158950,74351,62006,7307,71663,35692,1935375,3669,23857
"90",4135040,72624,60684,7163,70316,35721,1963798,3593,23366
"91",4111739,70882,59342,7017,68935,35724,1991706,3517,22868
"92",4089052,69126,57985,6865,67527,35703,2019087,3438,22360
"93",4066976,67366,56611,6715,66092,35657,2045928,3361,21849
"94",4045509,65603,55228,6562,64635,35587,2072222,3282,21333
"95",4024647,63843,53837,6407,63157,35495,2097959,3201,20811
"96",4004390,62086,52444,6250,61667,35379,2123130,3119,20288
"97",3984732,60333,51053,6093,60164,35241,2147728,3040,19761
"98",3965665,58596,49659,5935,58657,35082,2171750,2959,19239
"99",3947187,56868,48275,5778,57143,34901,2195194,2879,18712
"100",3929284,55159,46897,5621,55628,34701,2218055,2799,18190
"101",3911952,53471,45528,5464,54118,34481,2240330,2718,17671
"102",3895179,51804,44173,5309,52611,34243,2262025,2640,17155
"103",3878958,50161,42832,5154,51113,33986,2283141,2561,16645
"104",3863278,48545,41505,5001,49628,33711,2303676,2483,16140
"105",3848128,46956,40199,4849,48156,33421,2323636,2406,15640
