"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"108",6001700,5475,4532,390,5443,3374,736289,196,1812
"109",5999912,5374,4450,383,5344,3327,738413,193,1778
"110",5998157,5276,4368,376,5246,3279,740499,189,1745
"111",5996436,5179,4288,369,5151,3233,742548,185,1714
"112",5994746,5082,4210,363,5056,3187,744559,182,1682
"113",5993088,4988,4132,356,4964,3141,746534,179,1651
"114",5991461,4895,4056,350,4873,3096,748473,176,1621
"115",5989864,4804,3981,343,4784,3051,750377,172,1591
"116",5988296,4715,3906,337,4696,3006,752246,169,1562
"117",5986758,4627,3834,330,4609,2962,754081,166,1532
"118",5985250,4539,3763,324,4524,2919,755883,163,1504
"119",5983769,4455,3692,318,4440,2875,757653,160,1476
"120",5982317,4371,3623,312,4358,2833,759389,157,1449
