b1	r1
0.398	0.248
0.398	0.248
0.398	0.248
0.4	0.239
0.4	0.239
0.388	0.249
0.398	0.241
0.398	0.241
0.398	0.241
0.398	0.241
0.398	0.241
0.398	0.241
0.398	0.241
0.398	0.241
0.394	0.243
0.394	0.243
0.394	0.243
0.397	0.243
0.397	0.243
0.397	0.243
0.397	0.243
0.397	0.243
0.397	0.243
0.397	0.243
0.397	0.243
0.397	0.243
0.397	0.243
0.403	0.24
0.403	0.24
0.403	0.24
0.403	0.24
0.402	0.234
0.402	0.234
0.402	0.234
0.402	0.234
0.395	0.251
0.395	0.251
0.395	0.251
0.39	0.252
0.39	0.252
0.385	0.264
0.385	0.264
0.385	0.264
0.394	0.248
0.395	0.243
0.395	0.243
0.395	0.243
0.395	0.243
0.395	0.243
0.397	0.237
0.397	0.237
0.394	0.25
0.394	0.25
0.391	0.256
0.391	0.256
0.391	0.256
0.391	0.256
0.389	0.256
0.397	0.238
0.397	0.244
0.389	0.256
0.389	0.256
0.389	0.256
0.389	0.256
0.392	0.249
0.391	0.251
0.391	0.251
0.391	0.251
0.391	0.251
0.391	0.251
0.391	0.251
0.397	0.246
0.394	0.251
0.394	0.251
0.394	0.251
0.389	0.26
0.395	0.255
0.395	0.255
0.395	0.255
0.395	0.255
0.395	0.255
0.395	0.255
0.395	0.255
0.395	0.255
0.395	0.25
0.395	0.25
0.395	0.25
0.386	0.262
0.386	0.262
0.386	0.262
0.386	0.262
0.386	0.262
0.386	0.262
0.386	0.262
0.386	0.262
0.386	0.262
0.386	0.262
0.386	0.262
0.396	0.254
0.396	0.254
0.393	0.244
0.393	0.244
0.393	0.244
0.386	0.257
0.386	0.257
0.386	0.257
0.39	0.253
0.394	0.244
0.394	0.244
0.394	0.244
0.387	0.258
0.387	0.258
0.387	0.258
0.387	0.258
0.387	0.258
0.387	0.258
0.396	0.243
0.396	0.243
0.396	0.243
0.396	0.243
0.396	0.243
0.396	0.243
0.393	0.25
0.389	0.257
0.389	0.257
0.395	0.247
0.395	0.247
0.395	0.247
0.395	0.247
0.397	0.241
0.397	0.241
0.382	0.261
0.391	0.252
0.391	0.252
0.396	0.248
0.396	0.248
0.396	0.248
0.396	0.248
0.396	0.248
0.396	0.248
0.393	0.245
0.387	0.258
0.395	0.248
0.395	0.248
0.395	0.248
0.395	0.248
0.395	0.248
0.399	0.241
0.387	0.261
0.387	0.261
0.387	0.261
0.387	0.261
0.396	0.251
0.396	0.251
0.396	0.251
0.396	0.244
0.396	0.244
0.396	0.244
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.393	0.246
0.398	0.244
0.398	0.244
0.398	0.244
0.398	0.244
0.398	0.244
0.398	0.244
0.398	0.244
0.398	0.244
0.398	0.244
0.397	0.24
0.397	0.24
0.397	0.24
0.397	0.24
0.397	0.24
0.397	0.24
0.397	0.24
0.397	0.24
0.393	0.249
0.397	0.241
0.397	0.241
0.387	0.256
0.387	0.256
0.387	0.256
0.387	0.256
0.387	0.256
0.397	0.243
0.397	0.243
0.397	0.243
0.397	0.243
0.397	0.243
0.392	0.252
0.392	0.252
0.392	0.252
0.392	0.252
0.388	0.255
0.388	0.255
0.388	0.255
0.393	0.252
0.395	0.247
0.395	0.247
0.395	0.247
0.395	0.247
0.395	0.247
0.395	0.247
0.395	0.247
0.395	0.247
0.395	0.247
0.401	0.237
0.401	0.237
0.401	0.237
0.401	0.237
0.393	0.248
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.393	0.245
0.395	0.248
0.395	0.248
0.395	0.248
0.395	0.248
0.395	0.244
0.395	0.245
0.392	0.257
0.398	0.245
0.398	0.245
0.391	0.251
0.398	0.247
0.389	0.259
0.389	0.259
0.389	0.259
0.389	0.259
0.395	0.25
0.389	0.262
0.389	0.262
0.389	0.262
0.394	0.25
0.394	0.25
0.387	0.261
0.387	0.261
0.387	0.261
0.387	0.261
0.391	0.249
0.391	0.249
0.39	0.248
0.397	0.249
0.397	0.249
0.397	0.249
0.397	0.249
0.391	0.252
0.391	0.252
0.391	0.252
0.391	0.252
0.391	0.252
0.394	0.245
0.394	0.245
0.394	0.245
0.394	0.245
0.394	0.245
0.394	0.245
0.394	0.245
0.394	0.245
0.398	0.247
0.405	0.234
0.405	0.234
0.392	0.248
0.392	0.248
0.392	0.248
0.403	0.232
0.403	0.232
0.394	0.254
0.394	0.254
0.391	0.253
0.391	0.253
0.391	0.253
0.386	0.261
0.386	0.261
0.386	0.261
0.386	0.261
0.386	0.261
0.386	0.261
0.386	0.261
0.386	0.261
0.403	0.239
0.391	0.248
0.391	0.248
0.391	0.248
0.391	0.248
0.391	0.248
0.391	0.248
0.398	0.24
0.398	0.24
0.398	0.24
0.396	0.242
0.396	0.242
0.396	0.242
0.396	0.242
0.396	0.242
0.396	0.242
0.396	0.242
0.396	0.244
0.391	0.255
0.391	0.255
0.391	0.255
0.391	0.255
0.391	0.255
0.395	0.254
0.395	0.254
0.395	0.254
0.393	0.244
0.393	0.244
0.393	0.244
0.393	0.244
0.393	0.244
0.395	0.245
0.392	0.255
0.392	0.255
0.392	0.255
0.397	0.245
0.402	0.23
0.402	0.23
0.402	0.23
0.402	0.23
0.402	0.23
0.402	0.23
0.392	0.253
0.392	0.253
0.392	0.253
0.392	0.253
0.392	0.253
0.395	0.247
0.395	0.247
0.392	0.254
