b1	r1
0.549	0.109
0.524	0.136
0.524	0.136
0.524	0.136
0.524	0.136
0.524	0.136
0.524	0.136
0.52	0.127
0.52	0.127
0.491	0.171
0.491	0.171
0.491	0.171
0.539	0.115
0.534	0.121
0.538	0.127
0.538	0.127
0.538	0.127
0.525	0.127
0.509	0.145
0.514	0.143
0.514	0.143
0.514	0.143
0.512	0.144
0.512	0.144
0.519	0.138
0.509	0.146
0.509	0.146
0.509	0.146
0.509	0.146
0.509	0.146
0.509	0.146
0.511	0.164
0.511	0.164
0.511	0.164
0.511	0.164
0.523	0.135
0.523	0.137
0.505	0.168
0.505	0.168
0.505	0.168
0.498	0.169
0.497	0.174
0.497	0.174
0.515	0.149
0.523	0.133
0.523	0.133
0.523	0.133
0.523	0.133
0.523	0.133
0.519	0.137
0.519	0.137
0.527	0.134
0.527	0.134
0.534	0.123
0.534	0.123
0.509	0.159
0.509	0.159
0.509	0.159
0.509	0.159
0.501	0.157
0.505	0.159
0.519	0.146
0.519	0.146
0.519	0.146
0.524	0.128
0.524	0.128
0.524	0.128
0.524	0.128
0.524	0.128
0.524	0.128
0.524	0.128
0.534	0.13
0.534	0.13
0.534	0.13
0.534	0.13
0.534	0.13
0.508	0.156
0.508	0.156
0.508	0.156
0.503	0.162
0.503	0.162
0.503	0.162
0.503	0.162
0.503	0.162
0.503	0.162
0.503	0.162
0.503	0.162
0.512	0.135
0.512	0.135
0.512	0.135
0.512	0.135
0.512	0.135
0.512	0.135
0.508	0.158
0.508	0.158
0.508	0.158
0.508	0.158
0.508	0.158
0.508	0.158
0.508	0.158
0.56	0.112
0.56	0.112
0.56	0.112
0.56	0.112
0.535	0.123
0.535	0.123
0.528	0.124
0.528	0.124
0.502	0.164
0.502	0.164
0.502	0.164
0.502	0.164
0.519	0.138
0.519	0.138
0.498	0.164
0.497	0.164
0.497	0.164
0.523	0.143
0.514	0.142
0.514	0.142
0.514	0.142
0.514	0.142
0.514	0.142
0.514	0.142
0.503	0.156
0.539	0.125
0.539	0.125
0.539	0.125
0.539	0.125
0.539	0.125
0.539	0.125
0.518	0.144
0.518	0.144
0.518	0.144
0.518	0.144
0.518	0.144
0.522	0.135
0.522	0.135
0.522	0.135
0.522	0.135
0.522	0.135
0.522	0.135
0.502	0.164
0.502	0.164
0.502	0.164
0.502	0.164
0.506	0.151
0.506	0.151
0.506	0.151
0.506	0.151
0.506	0.151
0.506	0.151
0.506	0.151
0.506	0.151
0.506	0.151
0.508	0.148
0.508	0.148
0.508	0.148
0.51	0.159
0.538	0.12
0.538	0.12
0.529	0.131
0.5	0.162
0.513	0.143
0.513	0.143
0.513	0.143
0.513	0.143
0.513	0.143
0.526	0.138
0.526	0.138
0.526	0.138
0.529	0.131
0.529	0.131
0.529	0.131
0.529	0.131
0.509	0.15
0.509	0.15
0.509	0.15
0.509	0.15
0.509	0.15
0.509	0.15
0.509	0.15
0.512	0.154
0.526	0.127
0.526	0.127
0.52	0.135
0.52	0.135
0.487	0.177
0.487	0.177
0.487	0.177
0.531	0.121
0.531	0.121
0.531	0.121
0.531	0.121
0.5	0.162
0.5	0.162
0.5	0.162
0.5	0.162
0.5	0.162
0.5	0.162
0.5	0.162
0.5	0.162
0.523	0.135
0.523	0.135
0.523	0.135
0.523	0.135
0.523	0.135
0.52	0.143
0.52	0.143
0.535	0.122
0.535	0.122
0.535	0.122
0.514	0.15
0.514	0.15
0.514	0.15
0.528	0.125
0.502	0.159
0.517	0.149
0.517	0.149
0.517	0.149
0.517	0.149
0.517	0.149
0.506	0.163
0.506	0.163
0.506	0.163
0.506	0.163
0.506	0.163
0.506	0.163
0.522	0.14
0.522	0.14
0.522	0.14
0.522	0.14
0.522	0.14
0.522	0.14
0.505	0.144
0.505	0.144
0.505	0.144
0.505	0.144
0.505	0.144
0.505	0.144
0.504	0.147
0.495	0.164
0.495	0.164
0.522	0.143
0.522	0.143
0.522	0.143
0.504	0.164
0.519	0.143
0.519	0.143
0.519	0.143
0.519	0.143
0.519	0.143
0.519	0.143
0.519	0.143
0.512	0.149
0.515	0.134
0.515	0.134
0.511	0.149
0.511	0.149
0.511	0.149
0.511	0.149
0.511	0.149
0.511	0.149
0.511	0.149
0.511	0.149
0.511	0.149
0.516	0.134
0.516	0.134
0.539	0.117
0.539	0.117
0.539	0.117
0.539	0.117
0.539	0.117
0.524	0.135
0.524	0.135
0.507	0.159
0.507	0.159
0.507	0.159
0.507	0.159
0.507	0.159
0.507	0.159
0.54	0.111
0.54	0.111
0.514	0.145
0.511	0.14
0.511	0.14
0.512	0.138
0.514	0.142
0.504	0.152
0.504	0.152
0.506	0.169
0.506	0.169
0.506	0.169
0.516	0.144
0.513	0.139
0.513	0.153
0.51	0.166
0.51	0.166
0.524	0.142
0.506	0.164
0.542	0.109
0.542	0.109
0.542	0.109
0.542	0.109
0.542	0.109
0.505	0.16
0.505	0.16
0.489	0.166
0.496	0.154
0.496	0.154
0.519	0.145
0.519	0.145
0.515	0.144
0.515	0.144
0.505	0.162
0.533	0.124
0.533	0.124
0.533	0.124
0.533	0.124
0.533	0.124
0.533	0.124
0.533	0.124
0.512	0.158
0.512	0.158
0.537	0.115
0.537	0.115
0.516	0.141
0.516	0.141
0.516	0.141
0.515	0.142
0.515	0.142
0.515	0.142
0.515	0.142
0.536	0.131
0.492	0.174
0.492	0.174
0.492	0.174
0.492	0.174
0.492	0.174
0.492	0.174
0.514	0.143
0.55	0.106
0.5	0.155
0.5	0.155
0.497	0.165
0.497	0.165
0.533	0.12
0.533	0.12
0.533	0.12
0.533	0.12
0.533	0.12
0.514	0.155
0.514	0.155
0.514	0.155
0.504	0.159
0.504	0.159
0.504	0.159
0.504	0.159
0.514	0.146
0.514	0.146
0.488	0.193
0.513	0.151
0.513	0.151
0.532	0.127
0.522	0.147
0.522	0.147
0.522	0.147
0.522	0.147
0.522	0.147
0.522	0.147
0.522	0.147
0.532	0.138
0.532	0.138
0.532	0.138
0.532	0.138
0.532	0.138
0.507	0.161
0.507	0.161
0.507	0.161
0.496	0.173
0.528	0.126
0.528	0.126
0.528	0.126
0.496	0.18
0.511	0.144
0.511	0.144
0.515	0.143
0.515	0.143
0.49	0.18
0.532	0.125
0.507	0.155
0.507	0.155
0.506	0.143
0.517	0.13
0.517	0.13
0.517	0.13
0.517	0.13
0.517	0.13
0.526	0.146
0.526	0.146
0.526	0.146
0.526	0.133
0.526	0.133
0.5	0.174
0.5	0.174
0.5	0.174
0.5	0.174
0.517	0.151
0.518	0.143
0.483	0.183
0.506	0.16
0.506	0.16
0.531	0.124
0.531	0.124
0.531	0.124
0.51	0.145
0.51	0.145
0.517	0.146
0.524	0.141
0.524	0.141
0.524	0.141
0.531	0.129
0.531	0.129
0.531	0.129
0.531	0.129
0.531	0.129
0.531	0.129
0.529	0.129
0.504	0.161
0.504	0.161
0.501	0.153
0.501	0.153
0.501	0.153
0.501	0.153
0.501	0.153
0.501	0.153
0.501	0.153
0.536	0.116
0.536	0.116
0.536	0.116
0.496	0.173
0.507	0.143
0.507	0.143
0.507	0.143
0.507	0.143
0.507	0.143
0.507	0.143
0.514	0.144
0.514	0.144
0.521	0.148
0.521	0.148
0.521	0.148
0.521	0.148
0.521	0.148
0.515	0.145
0.515	0.145
0.515	0.145
0.515	0.145
0.509	0.148
0.509	0.148
0.509	0.148
0.509	0.148
0.509	0.148
0.504	0.161
0.504	0.161
0.522	0.143
0.522	0.143
0.502	0.164
0.507	0.15
0.507	0.15
0.507	0.15
0.529	0.137
0.529	0.137
0.536	0.126
0.536	0.126
0.536	0.126
0.536	0.126
0.536	0.126
0.536	0.126
0.526	0.139
0.526	0.139
0.526	0.139
0.558	0.101
0.558	0.101
0.558	0.101
0.558	0.101
0.512	0.141
0.513	0.142
0.512	0.152
0.512	0.152
0.506	0.156
0.522	0.127
0.522	0.127
0.522	0.132
0.51	0.15
0.512	0.163
0.536	0.112
0.536	0.112
0.515	0.133
0.498	0.161
0.504	0.156
0.504	0.156
0.504	0.156
0.542	0.12
0.542	0.12
0.542	0.12
0.542	0.12
0.542	0.12
0.504	0.15
0.504	0.15
0.504	0.15
0.54	0.112
0.54	0.112
0.54	0.112
0.54	0.112
0.54	0.112
0.54	0.112
0.511	0.146
0.511	0.146
0.511	0.146
0.511	0.146
0.511	0.146
0.511	0.146
0.511	0.146
0.525	0.137
0.525	0.137
0.525	0.137
0.512	0.131
0.512	0.131
0.513	0.145
0.508	0.156
0.508	0.156
0.508	0.156
0.508	0.156
0.508	0.156
0.508	0.156
0.508	0.156
0.508	0.156
0.508	0.156
0.515	0.154
0.515	0.154
0.515	0.154
0.515	0.154
0.515	0.154
0.515	0.154
0.515	0.154
0.515	0.154
0.495	0.166
0.495	0.166
0.526	0.135
0.526	0.135
0.529	0.136
0.517	0.144
0.517	0.144
0.528	0.121
0.528	0.121
0.528	0.121
0.528	0.121
0.509	0.155
0.528	0.13
0.528	0.13
0.528	0.13
0.528	0.13
0.52	0.142
0.52	0.142
0.523	0.139
0.524	0.134
0.524	0.134
0.524	0.134
0.524	0.134
0.524	0.134
0.524	0.134
0.511	0.154
0.511	0.154
0.511	0.154
0.536	0.125
0.524	0.136
0.524	0.136
0.524	0.136
0.524	0.136
0.524	0.136
0.515	0.14
0.506	0.153
0.501	0.171
0.511	0.152
0.511	0.152
0.511	0.152
0.511	0.152
0.511	0.152
0.525	0.126
0.512	0.162
0.512	0.162
0.521	0.142
0.529	0.127
0.529	0.127
0.529	0.127
0.529	0.127
0.558	0.105
0.558	0.105
0.52	0.144
0.52	0.144
0.52	0.144
0.52	0.144
0.52	0.144
0.52	0.144
0.52	0.144
