,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
1552,27139,smoothed_wcli,2020-09-17,2020-10-27,40,0.0,0.3268446,110.8586,county,fb-survey
1553,27145,smoothed_wcli,2020-09-17,2020-11-19,63,0.0,0.3209726,137.9325,county,fb-survey
1554,27163,smoothed_wcli,2020-09-17,2020-11-19,63,0.8634122,0.4779098,226.9281,county,fb-survey
1555,27003,smoothed_wcli,2020-09-18,2020-11-19,62,0.7141669,0.3488397,191.8337,county,fb-survey
1556,27037,smoothed_wcli,2020-09-18,2020-11-19,62,0.9615202,0.4890707,298.9753,county,fb-survey
1557,27053,smoothed_wcli,2020-09-18,2020-11-19,62,0.7046281,0.4440208,743.7213,county,fb-survey
1558,27123,smoothed_wcli,2020-09-18,2020-11-19,62,0.4153605,0.2600302,519.3541,county,fb-survey
1559,27139,smoothed_wcli,2020-09-18,2020-10-27,39,0.2664968,0.4092216,112.2539,county,fb-survey
1560,27145,smoothed_wcli,2020-09-18,2020-11-19,62,0.0,0.337339,129.5677,county,fb-survey
1561,27163,smoothed_wcli,2020-09-18,2020-11-19,62,0.4958754,0.428029,232.5442,county,fb-survey
1562,27003,smoothed_wcli,2020-09-19,2020-11-19,61,0.6264959,0.3418933,183.514,county,fb-survey
1563,27037,smoothed_wcli,2020-09-19,2020-11-19,61,1.5890336,0.6979687,297.0048,county,fb-survey
1564,27053,smoothed_wcli,2020-09-19,2020-11-19,61,0.5684318,0.3576057,722.937,county,fb-survey
1565,27123,smoothed_wcli,2020-09-19,2020-11-19,61,0.7068383,0.3882408,512.1071,county,fb-survey
1566,27139,smoothed_wcli,2020-09-19,2020-10-27,38,0.8475944,0.7027563,107.4528,county,fb-survey
1567,27145,smoothed_wcli,2020-09-19,2020-11-19,61,0.0,0.3371141,127.6468,county,fb-survey
1568,27163,smoothed_wcli,2020-09-19,2020-11-19,61,0.4969551,0.4322746,221.9152,county,fb-survey
1569,27003,smoothed_wcli,2020-09-20,2020-11-19,60,0.6199529,0.3396992,179.509,county,fb-survey
1570,27037,smoothed_wcli,2020-09-20,2020-11-19,60,1.3285155,0.6506935,291.907,county,fb-survey
1571,27053,smoothed_wcli,2020-09-20,2020-11-19,60,1.1309459,0.6518773,721.5794,county,fb-survey
1572,27123,smoothed_wcli,2020-09-20,2020-11-19,60,0.714729,0.3908895,500.8382,county,fb-survey
1573,27139,smoothed_wcli,2020-09-20,2020-10-27,37,0.8981177,0.740684,101.3126,county,fb-survey
1574,27145,smoothed_wcli,2020-09-20,2020-11-19,60,0.6805707,0.7541252,123.7363,county,fb-survey
1575,27163,smoothed_wcli,2020-09-20,2020-11-19,60,0.4999314,0.4390313,212.5283,county,fb-survey
1576,27003,smoothed_wcli,2020-09-21,2020-11-19,59,0.7829992,0.4039793,178.8863,county,fb-survey
1577,27037,smoothed_wcli,2020-09-21,2020-11-19,59,1.0721739,0.5997819,305.5104,county,fb-survey
1578,27053,smoothed_wcli,2020-09-21,2020-11-19,59,1.5615962,0.6876625,730.1555,county,fb-survey
1579,27123,smoothed_wcli,2020-09-21,2020-11-19,59,0.6593527,0.3889548,484.8839,county,fb-survey
1580,27145,smoothed_wcli,2020-09-21,2020-11-19,59,0.6270902,0.6974253,132.7016,county,fb-survey
1581,27163,smoothed_wcli,2020-09-21,2020-11-19,59,0.9548766,0.626172,203.3261,county,fb-survey
