sim_start,int_start1,int_length2,soc_dist_level_wfh,Ca,delta,mu,int_start2,int_length1,beta0est,alphaest,alpha1est,paramset,iso_start,log_lik,R0,Reff,E_init,soc_dist_level_sip
2020-02-16,2020-03-12,76,0.875,0.45,0.225,0.93125,2020-03-20,8,0,0,0,1,2020-06-04,0,0,0,0,0
2020-02-23,2020-03-09,76,0.775,0.65,0.125,0.95625,2020-03-20,11,0,0,0,2,2020-06-04,0,0,0,0,0
2020-02-12,2020-03-11,76,0.725,0.75,0.275,0.94375,2020-03-20,9,0,0,0,3,2020-06-04,0,0,0,0,0
2020-02-19,2020-03-14,76,0.825,0.55,0.175,0.96875,2020-03-20,6,0,0,0,4,2020-06-04,0,0,0,0,0
2020-02-15,2020-03-10,76,0.8125,0.425,0.2875,0.934375,2020-03-20,10,0.886333655773279,0.033238289533486,0.0772999009040251,5,2020-06-04,-10000081.2074621,6.08575822635065,1.10942741260417,3.51287123867411,0.183268564537777
