sim_start,int_start1,int_length2,soc_dist_level_wfh,Ca,delta,mu,int_start2,int_length1,beta0est,alphaest,alpha1est,paramset,iso_start,log_lik,R0,Reff,E_init,soc_dist_level_sip,Ia_init,Ip_init,Is_init,Im_init,Hr_init,Hd_init,R0_init,D0_init
2020-10-15,2021-01-15,76,1,0.45,0.225,0.93125,2021-01-16,1,0,0,0,1,2021-04-02,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-15,2021-01-15,76,1,0.65,0.125,0.95625,2021-01-16,1,0,0,0,2,2021-04-02,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-15,2021-01-15,76,1,0.75,0.275,0.94375,2021-01-16,1,0,0,0,3,2021-04-02,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-15,2021-01-15,76,1,0.55,0.175,0.96875,2021-01-16,1,0,0,0,4,2021-04-02,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-15,2021-01-15,76,1,0.425,0.2875,0.934375,2021-01-16,1,0.309691373826505,0.104702468467898,0.526202063413701,5,2021-04-02,-3483.78978626166,2.03732717529156,0.508486047123125,9522.48022390068,0.400231910993043,11040.3397545174,1454.05464553139,926.441672857338,7291.54202546936,1048.17898988013,209.83851531307,2231830.65008676,3702.53715618599
