"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",6344818,275,149,4,61,26,12,3,41
"2",6344656,342,179,6,100,26,35,4,60
"3",6344440,440,219,8,138,26,73,5,73
"4",6344163,566,276,10,179,27,124,6,89
"5",6343810,724,351,13,229,28,191,8,112
"6",6343360,924,448,16,293,29,275,10,142
"7",6342785,1180,572,21,373,31,383,13,182
"8",6342052,1506,730,27,477,33,520,16,232
"9",6341116,1923,932,34,609,36,695,21,296
"10",6339921,2455,1190,43,777,41,918,27,379
"11",6338395,3134,1519,55,992,47,1202,34,483
"12",6336447,4001,1939,71,1267,54,1565,44,617
"13",6333960,5108,2476,90,1618,64,2028,56,788
"14",6330787,6521,3161,115,2065,77,2619,71,1005
"15",6326735,8323,4036,147,2636,94,3374,91,1283
"16",6321567,10621,5151,187,3366,115,4337,116,1639
"17",6314973,13553,6574,239,4298,143,5566,147,2092
"18",6306564,17288,8390,305,5485,178,7135,188,2670
"19",6295845,22045,10703,389,7001,223,9138,240,3408
"20",6282188,28101,13651,496,8935,280,11693,306,4347
"21",6264804,35795,17406,633,11399,353,14955,390,5545
"22",6242692,45566,22180,807,14539,447,19115,497,7070
"23",6214603,57944,28246,1028,18535,566,24422,634,9010
"24",6178973,73593,35945,1309,23620,719,31186,807,11475
"25",6133872,93317,45693,1666,30077,913,39806,1026,14603
"26",6076920,118092,58005,2117,38267,1160,50783,1304,18562
"27",6005247,149041,73508,2688,48639,1475,64747,1654,23567
"28",5915403,187490,92940,3407,61736,1873,82495,2094,29869
"29",5803377,234863,117185,4312,78207,2379,105022,2647,37761
"30",5664616,292637,147222,5444,98854,3019,133555,3338,47614
"31",5494192,362154,184118,6851,124585,3825,169620,4191,59819
"32",5287041,444427,228947,8588,156432,4839,215071,5242,74807
"33",5038532,539685,282654,10713,195516,6109,272136,6517,93027
"34",4745217,646910,345849,13279,242944,7691,343455,8046,114849
"35",4405831,763226,418552,16332,299692,9648,432064,9846,140522
"36",4022464,883407,499760,19898,366411,12049,541356,11920,170057
"37",3601639,999608,587098,23961,443106,14963,674968,14241,203045
"38",3154932,1101622,676535,28449,528823,18458,836525,16744,238512
"39",2698505,1178188,762252,33215,621297,22584,1029303,19317,274828
"40",2251535,1218882,837112,38022,716677,27367,1255749,21796,309620
"41",1833310,1216805,893452,42555,809529,32791,1516903,23981,339981
"42",1459995,1170527,924586,46439,893191,38790,1811817,25650,362810
"43",1141917,1084979,926219,49294,960574,45236,2137125,26609,375384
"44",882479,970292,897639,50809,1005319,51944,2486864,26727,375978
"45",678871,839320,841945,50797,1022955,58682,2852775,25977,364297
"46",524058,704715,765296,49250,1011842,65192,3224992,24435,341632
"47",409098,576671,675564,46334,973399,71227,3593053,22276,310460
"48",325045,461871,580689,42353,911754,76576,3947058,19719,274008
"49",264087,363566,487484,37682,832829,81081,4278615,16994,235475
"50",219959,282328,400902,32711,743293,84660,4581492,14304,197644
"51",187936,216996,323956,27767,649499,87290,4851901,11789,162512
"52",164571,165535,257930,23112,556836,89008,5088354,9546,131305
"53",147404,125622,202867,18905,469350,89892,5291305,7615,104528
"54",134705,95001,157983,15235,389704,90046,5462670,6000,82203
"55",125247,71701,122053,12123,319336,89584,5605302,4679,64009
"56",118162,54063,93710,9543,258668,88618,5722582,3621,49446
"57",112827,40755,71608,7444,207435,87255,5818020,2783,37960
"58",108798,30731,54529,5765,164909,85587,5895027,2128,29006
"59",105744,23187,41418,4439,130128,83694,5956736,1623,22086
"60",103426,17509,31405,3402,102031,81644,6005927,1234,16774
"61",101663,13234,23788,2598,79566,79489,6045006,936,12719
"62",100322,10012,18010,1979,61762,77273,6075987,710,9632
"63",99300,7581,13633,1504,47757,75027,6100544,538,7293
"64",98523,5745,10319,1142,36808,72777,6120032,407,5520
"65",97930,4356,7814,867,28294,70541,6135543,309,4178
"66",97478,3306,5919,658,21699,68334,6147951,234,3163
"67",97135,2509,4485,498,16613,66166,6157938,177,2396
"68",96873,1905,3401,378,12700,64043,6166045,134,1816
"69",96674,1448,2579,286,9697,61971,6172690,102,1377
"70",96522,1100,1957,217,7397,59953,6178198,77,1044
"71",96407,836,1485,165,5639,57991,6182822,59,792
"72",96319,636,1128,125,4295,56086,6186756,45,601
"73",96252,483,857,95,3270,54238,6190150,34,456
"74",96201,368,651,72,2489,52446,6193118,26,347
"75",96163,280,494,55,1894,50709,6195750,20,263
"76",96133,213,376,42,1441,49028,6198113,15,200
"77",96111,162,286,32,1096,47401,6200258,11,152
"78",96094,123,217,24,833,45826,6202227,9,116
"79",96081,94,165,18,634,44302,6204051,7,88
"80",96071,71,126,14,482,42828,6205753,5,67
"81",96063,54,96,11,367,41403,6207352,4,51
"82",96058,41,73,8,279,40025,6208862,3,39
"83",96053,31,55,6,212,38692,6210295,2,29
"84",96050,24,42,5,161,37404,6211659,2,22
"85",96047,18,32,4,123,36158,6212963,1,17
"86",96045,14,24,3,93,34953,6214212,1,13
"87",96044,11,19,2,71,33789,6215410,1,10
"88",96043,8,14,2,54,32663,6216562,1,8
"89",96042,6,11,1,41,31575,6217669,0,6
"90",96041,5,8,1,31,30522,6218736,0,4
"91",96041,4,6,1,24,29505,6219765,0,3
"92",96041,3,5,1,18,28521,6220757,0,3
"93",96040,2,4,0,14,27571,6221714,0,2
"94",96040,2,3,0,10,26652,6222638,0,1
"95",96040,1,2,0,8,25763,6223530,0,1
"96",96040,1,2,0,6,24905,6224392,0,1
"97",96040,1,1,0,5,24074,6225224,0,1
"98",96040,1,1,0,4,23271,6226029,0,0
"99",96040,0,1,0,3,22496,6226806,0,0
"100",96039,0,1,0,2,21746,6227556,0,0
"101",96039,0,0,0,2,21021,6228282,0,0
"102",96039,0,0,0,1,20321,6228983,0,0
"103",96039,0,0,0,1,19643,6229661,0,0
"104",96039,0,0,0,1,18989,6230316,0,0
"105",96039,0,0,0,1,18356,6230949,0,0
"106",96039,0,0,0,0,17744,6231561,0,0
"107",96039,0,0,0,0,17153,6232153,0,0
"108",96039,0,0,0,0,16581,6232725,0,0
"109",96039,0,0,0,0,16028,6233277,0,0
"110",96039,0,0,0,0,15494,6233811,0,0
"111",96039,0,0,0,0,14978,6234328,0,0
"112",96039,0,0,0,0,14478,6234827,0,0
"113",96039,0,0,0,0,13996,6235310,0,0
"114",96039,0,0,0,0,13529,6235776,0,0
"115",96039,0,0,0,0,13078,6236227,0,0
"116",96039,0,0,0,0,12643,6236663,0,0
"117",96039,0,0,0,0,12221,6237085,0,0
"118",96039,0,0,0,0,11813,6237492,0,0
"119",96039,0,0,0,0,11420,6237886,0,0
"120",96039,0,0,0,0,11039,6238267,0,0
