OnsetDate,CaseNum,CaseSum,UncaseNum,UncaseSum
2020-05-19,11789,11789,135758,135758
2020-05-20,568,12357,6540,142299
2020-05-21,534,12891,6149,148448
2020-05-22,510,13401,5872,154321
2020-05-23,500,13901,5757,160079
2020-05-24,492,14393,5665,165745
2020-05-25,490,14883,5642,171387
2020-05-26,470,15353,5401,176789
2020-05-27,447,15800,5147,181937
2020-05-28,438,16238,4754,186691
2020-05-29,411,16649,4732,191424
2020-05-30,399,17048,4594,196018
2020-05-31,382,17430,4398,200417
2020-06-01,360,17790,4145,204563
2020-06-02,338,18128,3892,208455
2020-06-03,334,18462,3846,212302
2020-06-04,325,18787,3742,216044
2020-06-05,315,19102,3627,219672
2020-06-06,305,19407,3512,223184
2020-06-07,288,19695,3316,226500
2020-06-08,287,19982,3304,229805
2020-06-09,285,20267,3259,233065
2020-06-10,273,20540,3142,236208
2020-06-11,270,20810,3094,239302
2020-06-12,252,21062,2896,242198
2020-06-13,242,21304,2786,244985
2020-06-14,242,21546,2771,247756
2020-06-15,247,21793,2844,250601
2020-06-16,247,22040,2844,253445
2020-06-17,243,22283,2798,256243
2020-06-18,231,22514,2660,258903
2020-06-19,224,22738,2579,261483
2020-06-20,226,22964,2602,264086
