"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",5899915,15054,10764,819,12635,3349,402810,507,4197
"2",5893692,16087,11274,904,12453,3374,407562,505,4175
"3",5887354,16878,11920,970,12531,3412,412281,529,4373
"4",5880813,17599,12557,1033,12834,3460,417050,559,4624
"5",5874016,18327,13167,1093,13279,3517,421947,589,4871
"6",5866936,19088,13761,1151,13807,3582,427020,617,5107
"7",5859560,19882,14360,1208,14385,3654,432297,645,5338
"8",5851874,20712,14971,1263,14995,3734,437796,673,5571
"9",5843873,21572,15603,1319,15633,3820,443526,702,5808
"10",5835541,22464,16259,1376,16295,3913,449498,731,6052
"11",5826869,23388,16938,1434,16983,4012,455722,762,6307
"12",5817849,24344,17638,1495,17696,4117,462207,795,6569
"13",5808464,25334,18364,1557,18437,4229,468962,827,6843
"14",5798706,26356,19116,1622,19202,4347,475997,861,7123
"15",5788563,27412,19892,1689,19995,4473,483322,897,7414
"16",5778024,28498,20695,1758,20818,4605,490948,933,7717
"17",5767075,29621,21523,1829,21667,4745,498886,970,8028
"18",5755705,30776,22380,1903,22545,4891,507146,1009,8349
"19",5743901,31968,23261,1979,23453,5046,515739,1049,8682
"20",5731652,33194,24169,2058,24389,5207,524677,1091,9024
"21",5718946,34455,25104,2138,25355,5377,533971,1134,9376
"22",5705771,35749,26071,2222,26348,5554,543631,1178,9737
"23",5692117,37076,27062,2309,27376,5740,553667,1223,10112
"24",5677970,38438,28082,2397,28432,5933,564095,1269,10497
"25",5663322,39831,29127,2488,29519,6135,574924,1317,10892
"26",5648159,41258,30198,2581,30639,6345,586166,1365,11299
"27",5632471,42719,31295,2677,31787,6563,597833,1416,11715
"28",5616247,44213,32417,2775,32964,6791,609938,1468,12140
"29",5599483,45730,33570,2876,34169,7027,622490,1521,12574
"30",5582164,47280,34742,2979,35409,7272,635500,1574,13023
"31",5564284,48857,35941,3084,36674,7526,648979,1629,13475
"32",5545836,50457,37162,3192,37969,7789,662939,1686,13940
"33",5526812,52081,38405,3302,39291,8062,677394,1742,14416
"34",5507205,53729,39665,3413,40640,8344,692349,1800,14898
"35",5487010,55395,40949,3528,42012,8634,707818,1860,15386
"36",5466226,57078,42248,3643,43408,8934,723810,1919,15883
"37",5444844,58778,43559,3760,44828,9244,740333,1981,16390
"38",5422869,60483,44890,3878,46267,9562,757396,2042,16897
"39",5400296,62198,46232,3998,47724,9890,775007,2104,17412
"40",5377124,63921,47581,4121,49201,10227,793171,2168,17932
"41",5353359,65642,48937,4244,50692,10573,811898,2231,18457
"42",5329003,67363,50297,4369,52195,10928,831193,2295,18981
"43",5304058,69077,51656,4493,53708,11292,851062,2358,19512
"44",5278534,70782,53017,4618,55223,11664,871508,2422,20037
"45",5252438,72472,54371,4741,56746,12045,892532,2485,20566
"46",5225783,74138,55720,4866,58270,12434,914135,2550,21091
"47",5198574,75781,57060,4990,59790,12830,936320,2612,21613
"48",5170829,77397,58383,5113,61304,13234,959087,2676,22132
"49",5142559,78979,59687,5235,62812,13645,982429,2737,22646
"50",5113786,80520,60969,5356,64305,14062,1006349,2798,23152
"51",5084526,82017,62225,5475,65780,14487,1030837,2859,23648
