E0,sim_start,int_start1,int_length2,soc_dist_level_wfh,Ca,delta,mu,int_start2,int_length1,beta0est,alphaest,alpha1est,paramset,iso_start,log_lik,R0,Reff,E_init,soc_dist_level_sip
4,2020-04-05,2020-07-19,76,1,0.45,0.225,0.93125,2020-07-19,0,0,0,0,1,2020-10-03,0,0,0,0,NA
6,2020-04-05,2020-07-19,76,1,0.65,0.125,0.95625,2020-07-19,0,0,0,0,2,2020-10-03,0,0,0,0,NA
5,2020-04-05,2020-07-19,76,1,0.75,0.275,0.94375,2020-07-19,0,0,0,0,3,2020-10-03,0,0,0,0,NA
3,2020-04-05,2020-07-19,76,1,0.55,0.175,0.96875,2020-07-19,0,0,0,0,4,2020-10-03,0,0,0,0,NA
4,2020-04-05,2020-07-19,76,1,0.425,0.2875,0.934375,2020-07-19,0,0.03503511873283,0.0792555106161947,0.563488781691709,5,2020-10-03,-Inf,0.234069508075516,0.160073202233408,0,0.706770264730421
