sim_start,int_start1,int_length2,soc_dist_level_wfh,Ca,int_start2,int_length1,beta0est,alphaest,muest,deltaest,paramset,iso_start,log_lik,R0,Reff,E_init,soc_dist_level_sip
2020-01-22,2020-03-11,76,0.875,0.45,2020-04-01,21,0,0,0,0,1,2020-06-16,0,0,0,0,0
2020-01-22,2020-03-10,76,0.775,0.65,2020-04-01,22,0,0,0,0,2,2020-06-16,0,0,0,0,0
2020-01-22,2020-03-11,76,0.725,0.75,2020-04-01,21,0,0,0,0,3,2020-06-16,0,0,0,0,0
2020-01-22,2020-03-12,76,0.825,0.55,2020-04-01,20,0,0,0,0,4,2020-06-16,0,0,0,0,0
2020-01-22,2020-03-11,76,0.8125,0.425,2020-04-01,21,0.80788433657161,0.769704864003516,0.0730104656363647,0.73451341275403,5,2020-06-16,-28.7727784040529,3.1523145297703,1.01958644289785,0.494888623200345,0.322302525791761
