sim_start,int_start1,int_length2,soc_dist_level_wfh,Ca,int_start2,int_length1,beta0est,alphaest,muest,deltaest,paramset,iso_start,log_lik,R0,Reff,E_init,soc_dist_level_sip
2020-01-22,2020-03-11,76,0.875,0.45,2020-04-01,21,0,0,0,0,1,2020-06-16,0,0,0,0,0
2020-01-22,2020-03-10,76,0.775,0.65,2020-04-01,22,0,0,0,0,2,2020-06-16,0,0,0,0,0
2020-01-22,2020-03-11,76,0.725,0.75,2020-04-01,21,0,0,0,0,3,2020-06-16,0,0,0,0,0
2020-01-22,2020-03-12,76,0.825,0.55,2020-04-01,20,0,0,0,0,4,2020-06-16,0,0,0,0,0
2020-01-22,2020-03-11,76,0.8125,0.425,2020-04-01,21,1.32066405447229,0.976502970170359,0.0526703622145195,0.832853079411149,5,2020-06-16,-29.3425327806229,4.05387808485361,0.373196505202613,1.66487564047312,0.0921384878052471
