sim_start,int_start1,int_length2,soc_dist_level_wfh,Ca,int_start2,int_length1,beta0est,alphaest,muest,deltaest,paramset,iso_start,log_lik,R0,Reff,E_init,soc_dist_level_sip
2020-01-22,2020-03-11,76,0.875,0.45,2020-04-01,21,0,0,0,0,1,2020-06-16,0,0,0,0,0
2020-01-22,2020-03-10,76,0.775,0.65,2020-04-01,22,0,0,0,0,2,2020-06-16,0,0,0,0,0
2020-01-22,2020-03-11,76,0.725,0.75,2020-04-01,21,0,0,0,0,3,2020-06-16,0,0,0,0,0
2020-01-22,2020-03-12,76,0.825,0.55,2020-04-01,20,0,0,0,0,4,2020-06-16,0,0,0,0,0
2020-01-22,2020-03-11,76,0.8125,0.425,2020-04-01,21,0.866978272789092,0.821467010850104,0.209737239020669,0.814740355726126,5,2020-06-16,-28.8286633938672,3.20226685738798,0.625188753193766,1.24497423517071,0.194814315556037
