E0,sim_start,int_start1,int_length2,soc_dist_level_wfh,Ca,delta,mu,int_start2,int_length1,beta0est,alphaest,alpha1est,paramset,iso_start,log_lik,R0,Reff,E_init,soc_dist_level_sip
4,2020-05-24,2020-09-01,76,0.875,0.45,0.225,0.93125,2020-09-01,0,0,0,0,1,2020-11-16,0,0,0,0,NA
6,2020-05-24,2020-09-01,76,0.775,0.65,0.125,0.95625,2020-09-01,0,0,0,0,2,2020-11-16,0,0,0,0,NA
5,2020-05-24,2020-09-01,76,0.725,0.75,0.275,0.94375,2020-09-01,0,0,0,0,3,2020-11-16,0,0,0,0,NA
3,2020-05-24,2020-09-01,76,0.825,0.55,0.175,0.96875,2020-09-01,0,0,0,0,4,2020-11-16,0,0,0,0,NA
4,2020-05-24,2020-09-01,76,0.8125,0.425,0.2875,0.934375,2020-09-01,0,0.157585438703775,0.439688879784898,0.228174051529965,5,2020-11-16,-4755.62860975258,0.824211596744775,0.252337270918687,0,0.32872507571262
