OnsetDate,CaseNum,CaseSum,UncaseNum,UncaseSum
2020-04-28,18210,18210,892290,892290
2020-04-29,384,18594,18816,911106
2020-04-30,349,18943,17101,928207
2020-05-01,343,19286,16807,945014
2020-05-02,340,19626,16660,961674
2020-05-03,337,19963,16513,978187
2020-05-04,334,20297,16366,994553
2020-05-05,318,20615,15582,1010135
2020-05-06,343,20958,16807,1026942
2020-05-07,339,21297,16611,1043553
2020-05-08,328,21625,16072,1059625
2020-05-09,333,21958,16317,1075942
2020-05-10,349,22307,17101,1093043
2020-05-11,339,22646,16611,1109654
2020-05-12,349,22995,17101,1126755
2020-05-13,341,23336,16709,1143464
2020-05-14,326,23662,15974,1159438
2020-05-15,365,24027,17885,1177323
2020-05-16,356,24383,17444,1194767
2020-05-17,355,24738,17395,1212162
2020-05-18,360,25098,17640,1229802
2020-05-19,353,25451,17297,1247099
2020-05-20,358,25809,17542,1264641
2020-05-21,336,26145,16464,1281105
2020-05-22,324,26469,15876,1296981
2020-05-23,334,26803,16366,1313347
2020-05-24,334,27137,16366,1329713
2020-05-25,325,27462,15925,1345638
2020-05-26,337,27799,16513,1362151
2020-05-27,338,28137,16562,1378713
2020-05-28,334,28471,16366,1395079
2020-05-29,361,28832,17689,1412768
2020-05-30,380,29212,18620,1431388
2020-05-31,406,29618,19894,1451282
2020-06-01,416,30034,20384,1471666
2020-06-02,428,30462,20972,1492638
2020-06-03,458,30920,22442,1515080
2020-06-04,481,31401,23569,1538649
2020-06-05,487,31888,23863,1562512
2020-06-06,522,32410,25578,1588090
2020-06-07,593,33003,29057,1617147
2020-06-08,623,33626,30527,1647674
2020-06-09,653,34279,31997,1679671
2020-06-10,700,34979,34300,1713971
2020-06-11,727,35706,35623,1749594
2020-06-12,775,36481,37975,1787569
2020-06-13,817,37298,40033,1827602
2020-06-14,886,38184,43414,1871016
2020-06-15,950,39134,46550,1917566
2020-06-16,973,40107,47677,1965243
2020-06-17,1018,41125,49882,2015125
2020-06-18,1098,42223,53802,2068927
2020-06-19,1146,43369,56154,2125081
2020-06-20,1261,44630,61789,2186870
