b1	r1
0.473	0.083
0.473	0.083
0.473	0.083
0.471	0.084
0.47	0.085
0.47	0.085
0.47	0.085
0.47	0.085
0.47	0.085
0.468	0.086
0.471	0.086
0.471	0.086
0.471	0.086
0.471	0.086
0.467	0.09
0.472	0.087
0.472	0.085
0.472	0.085
0.472	0.085
0.472	0.085
0.472	0.085
0.472	0.085
0.472	0.085
0.472	0.085
0.472	0.085
0.472	0.087
0.472	0.087
0.472	0.087
0.471	0.086
0.471	0.086
0.472	0.084
0.472	0.084
0.469	0.085
0.469	0.085
0.469	0.085
0.469	0.085
0.473	0.085
0.468	0.086
0.468	0.086
0.468	0.086
0.468	0.086
0.468	0.086
0.472	0.083
0.472	0.083
0.472	0.083
0.472	0.083
0.471	0.085
0.47	0.085
0.47	0.085
0.47	0.085
0.471	0.085
0.471	0.085
0.469	0.086
0.469	0.086
0.469	0.086
0.469	0.086
0.473	0.084
0.473	0.084
0.47	0.085
0.467	0.086
0.467	0.086
0.467	0.086
0.467	0.086
0.467	0.086
0.467	0.086
0.47	0.084
0.47	0.084
0.47	0.084
0.47	0.085
0.47	0.085
0.47	0.085
0.47	0.085
0.47	0.085
