"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",6048135,14964,11677,679,14974,3365,251551,324,4900
"2",6042621,15318,11761,647,14572,3366,257060,315,4761
"3",6037186,15471,11930,633,14343,3362,262420,318,4796
"4",6031772,15549,12078,632,14263,3356,267696,322,4865
"5",6026352,15607,12188,635,14270,3349,272944,326,4925
"6",6020912,15666,12271,639,14320,3343,278195,329,4970
"7",6015449,15727,12337,644,14386,3338,283464,331,5004
"8",6009962,15790,12397,648,14456,3334,288758,333,5030
"9",6004453,15852,12453,651,14527,3331,294077,335,5056
"10",5998923,15916,12506,654,14596,3328,299421,336,5077
"11",5993374,15977,12557,657,14662,3327,304791,338,5099
"12",5987806,16035,12608,660,14726,3325,310185,339,5120
"13",5982220,16091,12655,663,14790,3324,315602,340,5142
"14",5976617,16147,12702,666,14850,3324,321041,342,5160
"15",5970996,16199,12747,667,14909,3324,326502,342,5180
"16",5965359,16249,12792,670,14966,3324,331984,344,5198
"17",5959707,16297,12835,673,15021,3325,337487,345,5216
"18",5954041,16345,12874,675,15074,3327,343009,346,5233
"19",5948360,16389,12913,677,15127,3328,348551,348,5250
"20",5942667,16432,12949,679,15177,3330,354111,348,5266
"21",5936961,16471,12986,682,15223,3332,359691,349,5280
"22",5931243,16510,13019,684,15268,3335,365286,351,5295
"23",5925517,16543,13052,685,15311,3338,370899,351,5309
"24",5919780,16575,13081,687,15354,3341,376527,353,5323
"25",5914034,16606,13109,689,15393,3344,382170,353,5334
"26",5908280,16634,13135,691,15431,3347,387827,354,5345
"27",5902519,16659,13160,692,15466,3350,393498,354,5356
"28",5896752,16682,13183,694,15499,3354,399181,355,5366
"29",5890979,16703,13204,695,15530,3357,404877,356,5376
"30",5885202,16719,13224,696,15560,3361,410583,356,5385
"31",5879420,16736,13239,697,15586,3366,416301,357,5393
"32",5873635,16750,13254,698,15611,3369,422028,357,5399
"33",5867847,16762,13267,699,15632,3374,427765,358,5405
"34",5862058,16772,13278,700,15652,3378,433508,358,5410
"35",5856269,16778,13288,700,15669,3381,439259,359,5414
"36",5850480,16781,13296,701,15685,3385,445017,359,5419
"37",5844691,16783,13301,701,15699,3389,450779,359,5422
"38",5838905,16782,13306,702,15710,3393,456547,359,5424
"39",5833122,16778,13307,702,15719,3397,462320,359,5426
"40",5827343,16772,13307,702,15726,3401,468095,359,5426
"41",5821568,16764,13305,702,15729,3404,473873,359,5426
"42",5815797,16753,13301,702,15731,3408,479653,359,5425
"43",5810033,16741,13294,702,15731,3411,485433,359,5425
"44",5804276,16725,13287,702,15728,3415,491213,359,5421
"45",5798527,16707,13277,701,15722,3418,496993,359,5418
"46",5792788,16685,13265,701,15716,3421,502769,358,5415
"47",5787057,16662,13253,701,15705,3423,508545,358,5409
"48",5781337,16636,13236,700,15693,3426,514317,358,5404
"49",5775626,16611,13217,700,15680,3429,520084,357,5398
"50",5769928,16581,13199,698,15662,3431,525846,357,5389
"51",5764243,16548,13178,698,15645,3433,531602,356,5383
"52",5758572,16513,13153,697,15625,3434,537351,356,5374
"53",5752914,16478,13128,696,15600,3436,543094,355,5364
"54",5747273,16437,13103,694,15574,3437,548828,354,5353
"55",5741646,16395,13073,693,15546,3438,554553,354,5343
"56",5736036,16351,13043,692,15518,3439,560266,353,5332
"57",5730443,16306,13011,690,15485,3440,565971,352,5318
"58",5724869,16258,12976,688,15450,3440,571664,351,5306
"59",5719313,16207,12941,686,15413,3440,577344,350,5291
"60",5713777,16155,12904,684,15375,3440,583010,349,5277
"61",5708261,16100,12864,683,15334,3439,588665,348,5262
"62",5702765,16044,12822,680,15293,3438,594303,347,5247
"63",5697292,15986,12779,679,15247,3437,599926,346,5228
"64",5691841,15924,12734,677,15201,3435,605532,345,5212
"65",5686413,15861,12689,674,15152,3434,611122,344,5193
"66",5681009,15795,12641,672,15103,3432,616694,343,5176
"67",5675629,15730,12590,669,15050,3429,622247,341,5155
"68",5670273,15660,12540,667,14996,3427,627782,340,5135
"69",5664943,15590,12489,664,14938,3424,633297,339,5113
"70",5659639,15518,12435,662,14880,3420,638791,337,5093
"71",5654361,15445,12380,659,14819,3416,644265,336,5071
"72",5649110,15370,12322,655,14759,3413,649716,334,5049
"73",5643887,15293,12264,653,14694,3408,655145,333,5025
"74",5638694,15213,12205,650,14629,3403,660551,331,5002
"75",5633528,15133,12144,647,14561,3398,665934,330,4977
"76",5628392,15051,12082,644,14492,3393,671291,328,4952
"77",5623286,14968,12019,641,14422,3387,676624,326,4927
"78",5618209,14884,11953,637,14351,3381,681930,324,4902
"79",5613163,14797,11889,634,14276,3374,687211,323,4874
"80",5608148,14710,11823,631,14200,3368,692466,321,4848
"81",5603165,14621,11754,627,14124,3361,697692,319,4821
"82",5598215,14529,11685,624,14048,3353,702891,317,4794
"83",5593296,14438,11615,620,13969,3345,708062,315,4765
"84",5588411,14345,11544,616,13888,3337,713204,313,4736
"85",5583559,14250,11471,613,13807,3329,718316,312,4707
"86",5578741,14155,11396,609,13723,3320,723400,310,4679
"87",5573957,14058,11323,605,13638,3311,728453,307,4646
"88",5569207,13961,11247,601,13553,3301,733475,306,4618
"89",5564491,13863,11172,597,13467,3291,738465,303,4586
"90",5559811,13763,11095,593,13379,3281,743424,301,4556
"91",5555166,13662,11017,589,13291,3271,748350,299,4524
"92",5550556,13561,10937,585,13201,3260,753246,297,4493
"93",5545982,13458,10858,581,13109,3249,758108,296,4460
"94",5541445,13355,10778,577,13016,3237,762938,293,4428
"95",5536944,13250,10696,573,12923,3225,767733,291,4396
"96",5532479,13146,10614,569,12829,3213,772495,289,4362
"97",5528052,13040,10533,564,12734,3201,777222,287,4328
"98",5523661,12934,10450,560,12638,3188,781913,284,4295
"99",5519307,12828,10367,556,12541,3175,786571,282,4261
"100",5514990,12721,10283,551,12445,3162,791192,280,4228
"101",5510711,12613,10199,547,12348,3149,795779,277,4194
"102",5506469,12507,10114,542,12249,3135,800330,275,4159
"103",5502266,12398,10028,538,12150,3121,804845,273,4125
"104",5498100,12288,9943,533,12050,3106,809325,271,4090
"105",5493972,12178,9857,529,11950,3092,813767,268,4055
"106",5489881,12069,9772,524,11848,3077,818173,266,4019
"107",5485829,11960,9686,520,11748,3062,822542,264,3985
"108",5481815,11849,9599,515,11647,3046,826873,261,3950
"109",5477840,11738,9512,511,11546,3031,831168,259,3914
